;"Ergebnis des Vorvorvorjahres K4/2013";"Ergebnis des Vorvorjahres K4/2014";"Ansatz des Vorjahres K4/2015";"Planung des Haushaltsjahres K4/2016";"Planung des Haushaltsjahres K4/2017";"Planung des Haushaltsjahres K4/2018";"Planung des Haushaltsjahres K4/2019";"Planung des Haushaltsjahres K4/2020"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-206.111,53 EUR";"-213.245,44 EUR";"-242.900,00 EUR";"";"";"";"";""
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Erträge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-206.111,53 EUR";"-213.245,44 EUR";"-242.900,00 EUR";"";"";"";"";""
"11 - Personalaufwendungen";"416.961,63 EUR";"333.277,10 EUR";"227.450,16 EUR";"";"";"";"";""
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"26.277,09 EUR";"8.484,64 EUR";"13.587,80 EUR";"";"";"";"";""
"14 - Bilanzielle Abschreibungen";"248,00 EUR";"58,71 EUR";"";"";"";"";"";""
"15 - Transferaufwendungen";"22.320,00 EUR";"47.250,00 EUR";"24.900,00 EUR";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"15.335,65 EUR";"16.180,74 EUR";"66.308,04 EUR";"";"";"";"";""
"17 = Ordentliche Aufwendungen";"481.142,37 EUR";"405.251,19 EUR";"332.246,00 EUR";"";"";"";"";""
"18 = Ordentliches Ergebnis (= 10 + 17)";"275.030,84 EUR";"192.005,75 EUR";"89.346,00 EUR";"";"";"";"";""
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"275.030,84 EUR";"192.005,75 EUR";"89.346,00 EUR";"";"";"";"";""
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"275.030,84 EUR";"192.005,75 EUR";"89.346,00 EUR";"";"";"";"";""
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"46.507,40 EUR";"26.755,19 EUR";"45.899,88 EUR";"";"";"";"";""
"29 = Teilergebnis  (= 26, 27, 28)";"321.538,24 EUR";"218.760,94 EUR";"135.245,88 EUR";"";"";"";"";""
