;"Ergebnis des Vorvorvorjahres K4/2013";"Ergebnis des Vorvorjahres K4/2014";"Ansatz des Vorjahres K4/2015";"Planung des Haushaltsjahres K4/2016";"Planung des Haushaltsjahres K4/2017";"Planung des Haushaltsjahres K4/2018";"Planung des Haushaltsjahres K4/2019";"Planung des Haushaltsjahres K4/2020"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-755,56 EUR";"-770,93 EUR";"-703,89 EUR";"-708,33 EUR";"-708,33 EUR";"-708,33 EUR";"-650,91 EUR";"-19,32 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-27.083,50 EUR";"-30.218,35 EUR";"-25.000,00 EUR";"-25.000,00 EUR";"-25.000,00 EUR";"-25.000,00 EUR";"-25.000,00 EUR";"-25.000,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Erträge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-27.839,06 EUR";"-30.989,28 EUR";"-25.703,89 EUR";"-25.708,33 EUR";"-25.708,33 EUR";"-25.708,33 EUR";"-25.650,91 EUR";"-25.019,32 EUR"
"11 - Personalaufwendungen";"228.546,41 EUR";"231.135,90 EUR";"216.793,24 EUR";"304.037,68 EUR";"278.242,93 EUR";"280.394,84 EUR";"283.677,81 EUR";"287.001,34 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"7.669,48 EUR";"7.395,07 EUR";"5.613,36 EUR";"6.286,80 EUR";"6.406,32 EUR";"6.529,84 EUR";"6.661,44 EUR";"6.786,96 EUR"
"14 - Bilanzielle Abschreibungen";"717,49 EUR";"775,34 EUR";"703,89 EUR";"709,17 EUR";"709,17 EUR";"709,17 EUR";"651,75 EUR";"20,16 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"10.878,03 EUR";"11.041,84 EUR";"12.004,60 EUR";"12.815,21 EUR";"12.815,21 EUR";"12.815,21 EUR";"12.815,21 EUR";"12.815,21 EUR"
"17 = Ordentliche Aufwendungen";"247.811,41 EUR";"250.348,15 EUR";"235.115,09 EUR";"323.848,86 EUR";"298.173,63 EUR";"300.449,06 EUR";"303.806,21 EUR";"306.623,67 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"219.972,35 EUR";"219.358,87 EUR";"209.411,20 EUR";"298.140,53 EUR";"272.465,30 EUR";"274.740,73 EUR";"278.155,30 EUR";"281.604,35 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"219.972,35 EUR";"219.358,87 EUR";"209.411,20 EUR";"298.140,53 EUR";"272.465,30 EUR";"274.740,73 EUR";"278.155,30 EUR";"281.604,35 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"219.972,35 EUR";"219.358,87 EUR";"209.411,20 EUR";"298.140,53 EUR";"272.465,30 EUR";"274.740,73 EUR";"278.155,30 EUR";"281.604,35 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"28.432,48 EUR";"28.314,81 EUR";"24.026,49 EUR";"27.991,53 EUR";"26.654,34 EUR";"26.640,99 EUR";"26.730,26 EUR";"26.934,92 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"248.404,83 EUR";"247.673,68 EUR";"233.437,69 EUR";"326.132,06 EUR";"299.119,64 EUR";"301.381,72 EUR";"304.885,56 EUR";"308.539,27 EUR"
