;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-79318,10;-30069,69;-14949,34;-33652,17;-20405,89;-11031,23;-4701,38;-1448,75
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-2,86;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-1697,40;-1571,19;-2000,00;0,00;0,00;0,00;0,00;0,00
6 + Kostenerstattungen und Kostenumlagen;-2479654,20;-1358513,36;-696607,84;-1073000,00;-1333000,00;-1273000,00;-1263000,00;-1023000,00
7 + Sonstige ordentliche Ertäge;-2414695,75;-181735,37;-7500,00;-2500,00;-2500,00;-2500,00;-2500,00;-2500,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-4975368,31;-1571889,61;-721057,18;-1109152,17;-1355905,89;-1286531,23;-1270201,38;-1026948,75
11 - Personalaufwendungen;5156970,79;5337588,70;5827635,12;4828640,60;4892920,40;4954004,40;5021964,80;5091004,92
12 - Versorgungsaufwendungen;3,92;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;697619,46;391181,74;304500,00;413561,64;546266,84;705090,28;745060,32;370179,60
14 - Bilanzielle Abschreibungen;112712,48;51282,18;41094,17;52824,24;23765,91;16079,25;9744,31;5669,91
15 - Transferaufwendungen;;;0,00;0,00;;;;
16 - Sonstige ordentliche Aufwendungen;1865085,50;2393091,24;2511695,44;4226053,56;4203088,56;4203588,56;4203588,56;4203588,56
17 = Ordentliche Aufwendungen;7832392,15;8173143,86;8684924,73;9521080,04;9666041,71;9878762,49;9980357,99;9670442,99
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);2857023,84;6601254,25;7963867,55;8411927,87;8310135,82;8592231,26;8710156,61;8643494,24
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);2857023,84;6601254,25;7963867,55;8411927,87;8310135,82;8592231,26;8710156,61;8643494,24
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);2857023,84;6601254,25;7963867,55;8411927,87;8310135,82;8592231,26;8710156,61;8643494,24
27 + Erträge aus internen Leistungsbeziehungen;-5456083,63;-5477093,83;-4823364,24;-5533586,60;-5533586,60;-5533586,60;-5533586,60;-5533586,60
28 - Aufwendungen aus internen Leistungsbeziehungen;1161619,92;987338,71;968097,95;1144354,24;1145869,25;1160179,72;1164933,06;1148878,08
29 = Ergebnis  (= 26, 27, 28);-1437439,87;2111499,13;4108601,26;4022695,51;3922418,47;4218824,38;4341503,07;4258785,72
