;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-295619,54;-172235,09;-179080,00;-179080,00;-179080,00;-179080,00;-179080,00;-179080,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;-194,94;0,00;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Ertäge;-194,94;-194,94;;-194,94;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-295814,48;-172430,03;-179274,94;-179274,94;-179080,00;-179080,00;-179080,00;-179080,00
11 - Personalaufwendungen;319898,54;289791,62;270182,28;183082,56;185042,28;186651,28;188222,96;189897,00
12 - Versorgungsaufwendungen;0,11;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;22967,42;31820,89;52000,00;48062,00;48451,00;48852,00;49265,00;49690,00
14 - Bilanzielle Abschreibungen;984,08;304,82;304,82;304,82;109,88;;;
15 - Transferaufwendungen;277815,40;57821,03;36500,00;36500,00;36500,00;36500,00;36500,00;36500,00
16 - Sonstige ordentliche Aufwendungen;38623,80;42052,06;63799,96;61300,00;61300,00;61300,00;61300,00;61300,00
17 = Ordentliche Aufwendungen;660289,35;421790,42;422787,06;329249,38;331403,16;333303,28;335287,96;337387,00
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);364474,87;249360,39;243512,12;149974,44;152323,16;154223,28;156207,96;158307,00
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;3338,86;;;;;;
21 = Finanzergebnis (=19 +20);;3338,86;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);364474,87;252699,25;243512,12;149974,44;152323,16;154223,28;156207,96;158307,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);364474,87;252699,25;243512,12;149974,44;152323,16;154223,28;156207,96;158307,00
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;36097,55;48040,26;61082,28;47143,80;47143,80;47143,80;47143,80;47143,80
29 = Ergebnis  (= 26, 27, 28);400572,42;300739,51;304594,40;197118,24;199466,96;201367,08;203351,76;205450,80
