;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;870,08;;0,00;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-1216656,02;-68781,34;0,00;0,00;0,00;0,00;;
7 + Sonstige ordentliche Ertäge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1215785,94;-68781,34;0,00;0,00;0,00;0,00;;
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;59526,55;68076,46;0,00;;;;;
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;1800787,00;1469583,00;1307291,00;1044795,00;932559,00;819768,00;819768,00;819768,00
16 - Sonstige ordentliche Aufwendungen;1537218,57;542,52;6592,50;;;;;
17 = Ordentliche Aufwendungen;3397532,12;1538201,98;1313883,50;1044795,00;932559,00;819768,00;819768,00;819768,00
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);2181746,18;1469420,64;1313883,50;1044795,00;932559,00;819768,00;819768,00;819768,00
19 + Finanzerträge;;-112438,63;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;20,48;0,00;;;;;;
21 = Finanzergebnis (=19 +20);20,48;-112438,63;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);2181766,66;1356982,01;1313883,50;1044795,00;932559,00;819768,00;819768,00;819768,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);2181766,66;1356982,01;1313883,50;1044795,00;932559,00;819768,00;819768,00;819768,00
27 + Erträge aus internen Leistungsbeziehungen;0,00;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;0,00;;;;;;;
29 = Ergebnis  (= 26, 27, 28);2181766,66;1356982,01;1313883,50;1044795,00;932559,00;819768,00;819768,00;819768,00
