;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-139467,69;-157218,17;-121618,42;-176892,88;-176694,56;-176654,88;-176654,88;-176654,88
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;-291,67;0,00;0,00;0,00;;
5 + Privatrechtliche Leistungsentgelte;-569876,53;-595274,52;-652600,00;-652600,00;-652600,00;-652600,00;-652600,00;-652600,00
6 + Kostenerstattungen und Kostenumlagen;-45174,58;-51324,56;;;;;;
7 + Sonstige ordentliche Ertäge;-291,67;-291,67;;-291,67;-291,67;-291,66;-291,67;-291,66
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-754810,47;-804108,92;-774510,09;-829784,55;-829586,23;-829546,54;-829546,55;-829546,54
11 - Personalaufwendungen;6593984,99;6653882,32;6150711,32;6752835,72;6863691,28;6972177,32;6985234,88;6984395,84
12 - Versorgungsaufwendungen;3,69;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;365232,33;359209,42;356850,00;349996,00;331163,00;332365,00;323603,00;324878,00
14 - Bilanzielle Abschreibungen;54140,27;38494,21;35075,95;35815,83;30807,14;29022,38;27139,17;26882,16
15 - Transferaufwendungen;22000,00;22000,00;22000,00;0,00;0,00;0,00;0,00;0,00
16 - Sonstige ordentliche Aufwendungen;307980,46;361440,18;253615,99;349525,00;349525,00;349525,00;357775,00;357775,00
17 = Ordentliche Aufwendungen;7343341,74;7435026,13;6818253,26;7488172,55;7575186,42;7683089,70;7693752,05;7693931,00
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);6588531,27;6630917,21;6043743,17;6658388,00;6745600,19;6853543,16;6864205,50;6864384,46
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);6588531,27;6630917,21;6043743,17;6658388,00;6745600,19;6853543,16;6864205,50;6864384,46
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);6588531,27;6630917,21;6043743,17;6658388,00;6745600,19;6853543,16;6864205,50;6864384,46
27 + Erträge aus internen Leistungsbeziehungen;-2850000,00;0,00;-2850000,00;-2850000,00;-2850000,00;-2850000,00;-2850000,00;-2850000,00
28 - Aufwendungen aus internen Leistungsbeziehungen;900493,32;597917,07;599756,75;545326,92;538702,37;548532,70;547904,45;546945,49
29 = Ergebnis  (= 26, 27, 28);4639024,59;7228834,28;3793499,92;4353714,92;4434302,56;4552075,86;4562109,95;4561329,95
