;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-18599,14;-22623,88;-8425,20;-19956,22;-13824,70;-5410,22;-55,23;-55,22
3 + Sonstige Transfererträge;0,00;0,00;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-1168,00;-2523,00;-1100,00;-2350,00;-2350,00;-2350,00;-2350,00;-2350,00
5 + Privatrechtliche Leistungsentgelte;-1477791,30;-1467778,35;-1100500,00;-1200500,00;-1200500,00;-1200500,00;-1200500,00;-1200500,00
6 + Kostenerstattungen und Kostenumlagen;-629143,78;-846877,30;-379969,43;-666830,22;-664779,08;-664540,80;-664465,18;-664467,86
7 + Sonstige ordentliche Ertäge;-3585965,15;-6086524,95;-1230550,00;-1364150,00;-1364150,00;-1364150,00;-1364150,00;-1364150,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-5712667,37;-8426327,48;-2720544,63;-3253786,44;-3245603,78;-3236951,02;-3231520,41;-3231523,08
11 - Personalaufwendungen;10451318,76;10469753,16;11348166,90;12282016,58;12402348,17;12498875,69;12620150,06;12765080,71
12 - Versorgungsaufwendungen;8,23;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;1187843,84;666460,07;824180,34;856511,62;852212,46;858084,70;874133,34;870363,50
14 - Bilanzielle Abschreibungen;5707742,20;19394740,11;139268,31;25490,45;15660,70;6938,70;944,16;871,82
15 - Transferaufwendungen;2843,20;1486,50;2550,00;0,00;0,00;0,00;0,00;0,00
16 - Sonstige ordentliche Aufwendungen;8334127,46;2246624,32;936847,00;977139,80;807287,80;807287,80;807287,80;807287,80
17 = Ordentliche Aufwendungen;25683883,69;32779064,16;13251012,55;14141158,45;14077509,13;14171186,89;14302515,36;14443603,83
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);19971216,32;24352736,68;10530467,92;10887372,01;10831905,35;10934235,87;11070994,95;11212080,75
19 + Finanzerträge;;-95,00;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;-95,00;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);19971216,32;24352641,68;10530467,92;10887372,01;10831905,35;10934235,87;11070994,95;11212080,75
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);19971216,32;24352641,68;10530467,92;10887372,01;10831905,35;10934235,87;11070994,95;11212080,75
27 + Erträge aus internen Leistungsbeziehungen;-17154851,53;-6935861,24;-7830251,58;-8867710,57;-8733628,15;-8744283,49;-8760648,21;-8785102,48
28 - Aufwendungen aus internen Leistungsbeziehungen;2064090,29;2048335,03;2184766,16;2057077,11;2046618,82;2055797,19;2059809,49;2063320,06
29 = Ergebnis  (= 26, 27, 28);4880455,08;19465115,47;4884982,50;4076738,55;4144896,02;4245749,57;4370156,23;4490298,33
