TFP Investitionssammelmaßnahmen Doppelhaushalt;Ergebnis  &NKF_TKWI&;Ergebnis  &NKF_TKWI&;Ansatz   2011;Ansatz HHJ  2012;VE 2012;Ansatz HHJ 2013;VE 2013;Planung  2014;Planung  2015;Planung  2016
TFP Investitionssammelmaßnahmen;EUR;EUR;EUR;EUR;;EUR;;EUR;EUR;EUR
1 - Einzahlungen aus Investitionszuwendungen;-1174223;-690236;-113150;-378150;;-113150;;-113150;-113150;-113150
2 - Einzahlungen aus Veräußerungen von Sachanlagen;-11267;-5821;-2650;-1150;;-1150;;-1150;-1150;-1150
3 - Einzahlungen aus Veräußerungen von Finanzanlagen;;;;-145000;;;;;;
4- Einzahlungen aus Beiträgen und ähnlichen Entgelten;;;;;;;;;;
5 - Sonstige Investitionseinzahlungen;;;;;;;;;;
6 - Summe der investiven Einzahlungen;-1185489;-696056;-115800;-524300;;-114300;;-114300;-114300;-114300
7 - Auszahlungen für den Erwerb von Grundstücken/Gebäuden;;;;;;;;;;
8 - Auszahlungen für Baumaßnahmen;;;350000;1075000;;350000;;350000;350000;350000
9 - Auszahlungen für den Erwerb von bewegl Anlagevermögen;697293;594959;688100;520500;;520500;;520500;520500;520500
10 - Auszahlungen für den Erwerb von Finanzanlagen;500;;1000;;;;;;;
11 - Auszahlung für aktivierbare Zuwendungen test bw;0;;;;;;;;;
12 - Sonstige Investitionsauszahlungen;;;;;;;;;;
13 - Summe der investiven Auszahlungen;697793;594959;1039100;1595500;;870500;;870500;870500;870500
4 = Saldo: (Einzahlungen / Auszahlungen);-487697;-101098;923300;1071200;;756200;;756200;756200;756200
