Gesamtfinanzplan Doppelhaushalt;Ergebnis des Vorvor- / vorjahres   &NKF_TKWI&;Ergebnis des Vorvorjahres   &NKF_TKWI&;Ansatz Vorjahr      2011;Planung    2012;Planung+1  2013;Planung+2   2014;Planung+3  2015;Planung+4  2016
Gesamtfinanzplan;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
1 - Steuern und ähnliche Abgaben;-489525913,94;-471716864,81;-361643700,00;-393637200,00;-405999000,00;-416391000,00;-424194000,00;-433578000,00
2 - Zuwendungen und allgemeine Umlagen;-260364282,46;-260398489,61;-265174076,00;-275303167,00;-276664263,00;-281378123,00;-284186500,00;-286923116,00
3 - Sonstige Transfereinzahlungen;-6138447,80;-4836456,29;-5972450,00;-5594550,00;-5439550,00;-5439550,00;-5439550,00;-5439550,00
4 - Öffentlich-rechtliche Leistungsentgelte;-177826505,49;-190202440,28;-181491648,00;-178315184,00;-178378184,00;-178390184,00;-178354184,00;-178320184,00
5 - Privatrechtliche Leistungsentgelte;-18160909,02;-14528869,23;-16683693,00;-17926170,00;-17824170,00;-17812970,00;-17914870,00;-17914870,00
6 - Kostenerstattungen, Kostenumlagen;-53013342,42;-60043957,61;-46021711,00;-111790640,00;-119143630,00;-122193860,00;-120937260,00;-119273580,00
7 - Sonstige Einzahlungen;-8394316,41;-44748454,31;-29851901,00;-31348275,00;-31348275,00;-31347375,00;-31347275,00;-31347275,00
8 - Zinsen und sonstige Finanzeinzahlungen;-8968710,31;-8650006,40;-7806900,00;-8544000,00;-8496200,00;-8448400,00;-8098800,00;-8047500,00
9 = Einzahlungen aus laufender Verwaltungstätigkeit;-1022392427,85;-1055125538,54;-914646079,00;-1022459186,00;-1043293272,00;-1061401462,00;-1070472439,00;-1080844075,00
10 -Personalauszahlungen;189636568,00;190198006,85;195921950,00;195137898,00;195019598,83;194616498,83;197771298,83;200846598,83
11 - Versorgungsauszahlungen;29339736,76;29635803,14;30913600,00;32389302,00;32802602,00;33203702,00;33350402,00;33671602,00
12 - Auszahlungen für Sach- und Dienstleistungen;278870956,59;243271117,13;113934677,00;124784726,00;125209303,00;121678828,00;122938714,00;123776242,00
13 - Zinsen und sonst Finanzauszahlungen;60822067,87;56374314,25;83491500,00;67170000,00;69217800,00;70842750,00;71941600,00;72958550,00
14 - Transferauszahlungen;328348815,82;334306999,08;335008577,00;399419642,00;403024288,00;412596917,00;416170093,00;415974283,00
15 - sonstige Auszahlungen;313356207,65;323180382,13;336828644,00;332986439,00;329077189,00;326043616,00;324107409,00;321921048,00
16 = Auszahlungen aus laufender Verwaltungstätigkeit;1200374352,69;1176966622,58;1096098948,00;1151888007,00;1154350780,83;1158982311,83;1166279516,83;1169148323,83
17 = Saldo aus laufender Verwaltungstätigkeit (9 + 16);177981924,84;121841084,04;181452869,00;129428821,00;111057508,83;97580849,83;95807077,83;88304248,83
18 - Zuwendungen für Investitionsmaßnahmen;-18295850,78;-16343448,71;-33458425,00;-27402348,00;-25214770,00;-29123498,00;-23452632,00;-20178050,00
19 - Einzahlungen aus der Veräußerung von Sachanlagen;-1617286,08;-2899196,56;-5083150,00;-4713650,00;-4829650,00;-3460650,00;-3460650,00;-3460650,00
20 - Einzahlungen aus der Veräußerung von Finanzanlagen;-92803881,03;-58203,11;-6100000,00;-6167500,00;-4600000,00;;-2400000,00;-1900000,00
21 - Einzahlungen aus Beiträgen u ä Entgelten;-1489505,37;-890034,95;-1450000,00;-1200000,00;-1200000,00;-1200000,00;-1200000,00;-1200000,00
22 - sonstige Investitionseinzahlungen;-37662,04;-18349,07;;;;;;
23 = Einzahlungen aus Investitionstätigkeit;-114244185,30;-20209232,40;-46091575,00;-39483498,00;-35844420,00;-33784148,00;-30513282,00;-26738700,00
24 - Auszahlungen für den Erwerb von Grundstücken/Gebäuden;289162,64;2652087,42;286000,00;100000,00;100000,00;100000,00;100000,00;100000,00
25 - Auszahlungen für Baumaßnahmen;8337421,13;6528358,23;38766700,00;32404533,00;28927788,00;29781792,00;22233103,00;18106000,00
26 - Auszahlungen für Erwerb von beweglichem Anlagevermögen;10680612,16;9026946,40;10034200,00;10444613,00;10922613,00;10933063,00;9639963,00;9478263,00
27 - Auszahlungen für den Erwerb von Finanzanlagen;122206162,55;;1000,00;;;;;
28 - Auszahlungen von aktivierbaren Zuwendungen;7875023,12;7037673,49;7301000,00;10804500,00;9864000,00;10280000,00;10080000,00;10280000,00
29 - Sonstige Investitionsauszahlungen;;;;;;;;
30 = Auszahlungen aus Investitionstätigkeiten;149388381,60;25245065,54;56388900,00;53753646,00;49814401,00;51094855,00;42053066,00;37964263,00
31 = Saldo aus Investitionstätigkeit (23 + 30);35144196,30;5035833,14;10297325,00;14270148,00;13969981,00;17310707,00;11539784,00;11225563,00
32 = Finanzmittelüberschuß / -fehlbetrag (17 + 31);213126121,14;126876917,18;191750194,00;143698969,00;125027489,83;114891556,83;107346861,83;99529811,83
33 + Aufnahme und Rückflüsse von Darlehen;-51519830,29;-15189030,92;-31554025,00;-30630048,00;-33412193,00;-35158011,00;-30337184,00;-30000963,00
34 - Tilgung und Gewährung von Darlehen;35229219,10;24811889,85;28930200,00;24522700,00;27311700,00;26817700,00;27590700,00;27650700,00
35 = Saldo aus Finanzierungstätigkeit (33 - 34);-16290611,19;9622858,93;-2623825,00;-6107348,00;-6100493,00;-8340311,00;-2746484,00;-2350263,00
36 - Änderung des Bestands an eigenen Finanzmitteln (32+35);196835509,95;136499776,11;189126369,00;137591621,00;118926996,83;106551245,83;104600377,83;97179548,83
37 +  Anfangsbestand an Finanzmitteln;;;;;;;;
38 = LIQUIDE MITTEL (36+37);196835509,95;136499776,11;189126369,00;137591621,00;118926996,83;106551245,83;104600377,83;97179548,83
