TFP Investitionssammelmaßnahmen Doppelhaushalt;Ergebnis  &NKF_TKWI&;Ergebnis  &NKF_TKWI&;Ansatz   2011;Ansatz HHJ  2012;VE 2012;Ansatz HHJ 2013;VE 2013;Planung  2014;Planung  2015;Planung  2016
TFP Investitionssammelmaßnahmen;EUR;EUR;EUR;EUR;;EUR;;EUR;EUR;EUR
1 - Einzahlungen aus Investitionszuwendungen;-3698770;-4289511;-2210000;-2275000;;-2725000;;-2500000;-2500000;-2500000
2 - Einzahlungen aus Veräußerungen von Sachanlagen;-1847;;;;;;;;;
3 - Einzahlungen aus Veräußerungen von Finanzanlagen;;;;;;;;;;
4- Einzahlungen aus Beiträgen und ähnlichen Entgelten;;;;;;;;;;
5 - Sonstige Investitionseinzahlungen;;;;;;;;;;
6 - Summe der investiven Einzahlungen;-3700617;-4289511;-2210000;-2275000;;-2725000;;-2500000;-2500000;-2500000
7 - Auszahlungen für den Erwerb von Grundstücken/Gebäuden;;;;;;;;;;
8 - Auszahlungen für Baumaßnahmen;21020;19280;;;;;;;;
9 - Auszahlungen für den Erwerb von bewegl Anlagevermögen;3352520;3414787;2619630;2683673;;3133673;;2908673;2908673;2908673
10 - Auszahlungen für den Erwerb von Finanzanlagen;;;;;;;;;;
11 - Auszahlung für aktivierbare Zuwendungen test bw;54872;46980;;;;;;;;
12 - Sonstige Investitionsauszahlungen;;;;;;;;;;
13 - Summe der investiven Auszahlungen;3428412;3481048;2619630;2683673;;3133673;;2908673;2908673;2908673
4 = Saldo: (Einzahlungen / Auszahlungen);-272205;-808463;409630;408673;;408673;;408673;408673;408673
