TFP Investitionssammelmaßnahmen Doppelhaushalt;Ergebnis  &NKF_TKWI&;Ergebnis  &NKF_TKWI&;Ansatz   2011;Ansatz HHJ  2012;VE 2012;Ansatz HHJ 2013;VE 2013;Planung  2014;Planung  2015;Planung  2016
TFP Investitionssammelmaßnahmen;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
1 - Einzahlungen aus Investitionszuwendungen;-1428573;-1214109;-463475;-471175;;-478875;;-494275;-450000;-450000
2 - Einzahlungen aus Veräußerungen von Sachanlagen;-37586;-19735;-17000;-10000;;-26000;;-7000;-7000;-7000
3 - Einzahlungen aus Veräußerungen von Finanzanlagen;;;;;;;;;;
4- Einzahlungen aus Beiträgen und ähnlichen Entgelten;;;;;;;;;;
5 - Sonstige Investitionseinzahlungen;;;;;;;;;;
6 - Summe der investiven Einzahlungen;-1466158;-1233844;-480475;-481175;;-504875;;-501275;-457000;-457000
7 - Auszahlungen für den Erwerb von Grundstücken/Gebäuden;;;;;;;;;;
8 - Auszahlungen für Baumaßnahmen;;;;;;;;;;
9 - Auszahlungen für den Erwerb von bewegl Anlagevermögen;2446722;1858267;2695500;3477450;3075000;3589650;1000000;3963000;2818000;2543000
10 - Auszahlungen für den Erwerb von Finanzanlagen;15000;;;;;;;;;
11 - Auszahlung für aktivierbare Zuwendungen test bw;;;;;;;;;;
12 - Sonstige Investitionsauszahlungen;;;;;;;;;;
13 - Summe der investiven Auszahlungen;2461722;1858267;2695500;3477450;3075000;3589650;1000000;3963000;2818000;2543000
4 = Saldo: (Einzahlungen / Auszahlungen);995564;624423;2215025;2996275;3075000;3084775;1000000;3461725;2361000;2086000
