TFP Investitionssammelmaßnahmen Doppelhaushalt;Ergebnis  &NKF_TKWI&;Ergebnis  &NKF_TKWI&;Ansatz   2011;Ansatz HHJ  2012;VE 2012;Ansatz HHJ 2013;VE 2013;Planung  2014;Planung  2015;Planung  2016
TFP Investitionssammelmaßnahmen;EUR;EUR;EUR;EUR;;EUR;;EUR;EUR;EUR
1 - Einzahlungen aus Investitionszuwendungen;-693576;-485484;;;;;;;;
2 - Einzahlungen aus Veräußerungen von Sachanlagen;;-6953;-2500;-2500;;-2500;;-2500;-2500;-2500
3 - Einzahlungen aus Veräußerungen von Finanzanlagen;;;;;;;;;;
4- Einzahlungen aus Beiträgen und ähnlichen Entgelten;;;;;;;;;;
5 - Sonstige Investitionseinzahlungen;;;;;;;;;;
6 - Summe der investiven Einzahlungen;-693576;-492436;-2500;-2500;;-2500;;-2500;-2500;-2500
7 - Auszahlungen für den Erwerb von Grundstücken/Gebäuden;;;;;;;;;;
8 - Auszahlungen für Baumaßnahmen;884991;253985;333100;413000;;290000;;455000;381000;363000
9 - Auszahlungen für den Erwerb von bewegl Anlagevermögen;442147;357087;443200;371100;;336100;;328600;328600;328600
10 - Auszahlungen für den Erwerb von Finanzanlagen;;;;;;;;;;
11 - Auszahlung für aktivierbare Zuwendungen test bw;-27986;27986;;;;;;;;
12 - Sonstige Investitionsauszahlungen;;;;;;;;;;
13 - Summe der investiven Auszahlungen;1299152;639057;776300;784100;;626100;;783600;709600;691600
4 = Saldo: (Einzahlungen / Auszahlungen);605576;146621;773800;781600;;623600;;781100;707100;689100
