;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-426530,68;-506919,39;-248046,00;-425832,98;-413905,14;-392806,75;-351274,54;-321107,24
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-22328779,01;-21020108,99;-22530144,89;-23599850,00;-23599850,00;-23599850,00;-23599850,00;-23599850,00
5 + Privatrechtliche Leistungsentgelte;-631014,38;-690209,92;-633100,00;-641400,00;-641400,00;-630200,00;-630200,00;-630200,00
6 + Kostenerstattungen und Kostenumlagen;-2775537,34;-1350646,53;-773200,00;-771200,00;-1031200,00;-971200,00;-961200,00;-721200,00
7 + Sonstige ordentliche Ertäge;-9330202,97;-9630336,76;-7951950,00;-8991544,90;-8991544,89;-8990559,95;-8990475,00;-8990475,00
8 + Aktivierte Eigenleistungen;-322,52;-1707,36;-125,76;-1729,92;-1873,92;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-35492386,90;-33199928,95;-32136566,65;-34431557,80;-34679773,95;-34584616,70;-34532999,54;-34262832,24
11 - Personalaufwendungen;36319167,16;37265443,57;42617931,57;58216870,76;57470671,50;56223897,61;55785711,60;56283032,04
12 - Versorgungsaufwendungen;27,43;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;6264973,15;5203362,45;5008176,80;5706608,60;5868060,64;6081916,64;6167087,16;5838706,12
14 - Bilanzielle Abschreibungen;3541527,71;3703694,66;2937946,72;1877504,03;1624646,32;1520264,29;1211770,12;1016359,54
15 - Transferaufwendungen;1954873,00;1607583,00;1445791,00;1183295,00;1071059,00;958268,00;958268,00;958268,00
16 - Sonstige ordentliche Aufwendungen;11737597,12;10890492,19;9765284,63;10434818,22;10444331,96;10432606,04;10439210,04;10444910,04
17 = Ordentliche Aufwendungen;59818165,57;58670575,87;61775130,72;77419096,61;76478769,42;75216952,58;74562046,92;74541275,74
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);24325778,67;25470646,92;29638564,07;42987538,81;41798995,47;40632335,88;40029047,38;40278443,50
19 + Finanzerträge;;-112438,63;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;29,32;15610,93;;;;;;
21 = Finanzergebnis (=19 +20);29,32;-96827,70;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);24325807,99;25373819,22;29638564,07;42987538,81;41798995,47;40632335,88;40029047,38;40278443,50
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);24325807,99;25373819,22;29638564,07;42987538,81;41798995,47;40632335,88;40029047,38;40278443,50
27 + Erträge aus internen Leistungsbeziehungen;-382057,44;-512715,00;-538415,04;-538436,04;-538436,04;-538436,04;-538436,04;-538436,04
28 - Aufwendungen aus internen Leistungsbeziehungen;11685032,93;10098515,47;10386418,05;9672487,33;9543829,87;9526699,68;9500293,25;9498983,88
29 = Ergebnis  (= 26, 27, 28);35628783,48;34959619,69;39486567,08;52121590,10;50804389,30;49620599,52;48990904,59;49238991,34
