"";"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-1.278,90 EUR";"-20,07 EUR";"";"-7,70 EUR";"";"";"";""
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"-108.573,71 EUR";"-471,72 EUR";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-109.852,61 EUR";"-491,79 EUR";"";"-7,70 EUR";"";"";"";""
"11 - Personalaufwendungen";"";"21.517,99 EUR";"24.290,98 EUR";"29.123,54 EUR";"29.325,89 EUR";"29.438,33 EUR";"29.606,44 EUR";"29.863,19 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"";"731,53 EUR";"799,66 EUR";"767,38 EUR";"784,54 EUR";"802,30 EUR";"820,66 EUR";"839,50 EUR"
"14 - Bilanzielle Abschreibungen";"";"104,57 EUR";"1,47 EUR";"7,70 EUR";"";"";"";""
"15 - Transferaufwendungen";"1.188,25 EUR";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"108.573,71 EUR";"729,01 EUR";"658,84 EUR";"789,20 EUR";"789,20 EUR";"789,20 EUR";"789,20 EUR";"789,20 EUR"
"17 = Ordentliche Aufwendungen";"109.761,96 EUR";"23.083,10 EUR";"25.750,95 EUR";"30.687,82 EUR";"30.899,63 EUR";"31.029,83 EUR";"31.216,30 EUR";"31.491,89 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"-90,65 EUR";"22.591,31 EUR";"25.750,95 EUR";"30.680,12 EUR";"30.899,63 EUR";"31.029,83 EUR";"31.216,30 EUR";"31.491,89 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"-90,65 EUR";"22.591,31 EUR";"25.750,95 EUR";"30.680,12 EUR";"30.899,63 EUR";"31.029,83 EUR";"31.216,30 EUR";"31.491,89 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"-90,65 EUR";"22.591,31 EUR";"25.750,95 EUR";"30.680,12 EUR";"30.899,63 EUR";"31.029,83 EUR";"31.216,30 EUR";"31.491,89 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"";"3.966,38 EUR";"4.879,61 EUR";"4.538,25 EUR";"4.505,39 EUR";"4.529,91 EUR";"4.533,22 EUR";"4.545,86 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"-90,65 EUR";"26.557,69 EUR";"30.630,56 EUR";"35.218,37 EUR";"35.405,02 EUR";"35.559,74 EUR";"35.749,52 EUR";"36.037,75 EUR"
