TFP Investitionssammelmaßnahmen Doppelhaushalt;Ergebnis  &NKF_TKWI&;Ergebnis  &NKF_TKWI&;Ansatz   2011;Ansatz HHJ  2012;VE 2012;Ansatz HHJ 2013;VE 2013;Planung  2014;Planung  2015;Planung  2016
TFP Investitionssammelmaßnahmen;EUR;EUR;EUR;EUR;;EUR;;EUR;EUR;EUR
1 - Einzahlungen aus Investitionszuwendungen;;;-6750000;-7500000;;-7500000;;-7500000;-7500000;-7500000
2 - Einzahlungen aus Veräußerungen von Sachanlagen;;;;;;;;;;
3 - Einzahlungen aus Veräußerungen von Finanzanlagen;-92803881;-58203;-5900000;-6000000;;-4600000;;;-2400000;-1900000
4- Einzahlungen aus Beiträgen und ähnlichen Entgelten;;;;;;;;;;
5 - Sonstige Investitionseinzahlungen;;;;;;;;;;
6 - Summe der investiven Einzahlungen;-92803881;-58203;-12650000;-13500000;;-12100000;;-7500000;-9900000;-9400000
7 - Auszahlungen für den Erwerb von Grundstücken/Gebäuden;;;;;;;;;;
8 - Auszahlungen für Baumaßnahmen;;;;;;;;;;
9 - Auszahlungen für den Erwerb von bewegl Anlagevermögen;;;;;;;;;;
10 - Auszahlungen für den Erwerb von Finanzanlagen;121908468;;;;;;;;;
11 - Auszahlung für aktivierbare Zuwendungen test bw;;;;;;;;;;
12 - Sonstige Investitionsauszahlungen;;;;;;;;;;
13 - Summe der investiven Auszahlungen;121908468;;;;;;;;;
4 = Saldo: (Einzahlungen / Auszahlungen);29104587;-58203;-12650000;-13500000;;-12100000;;-7500000;-9900000;-9400000
