TFP Investitionssammelmaßnahmen Doppelhaushalt;Ergebnis  &NKF_TKWI&;Ergebnis  &NKF_TKWI&;Ansatz   2011;Ansatz HHJ  2012;VE 2012;Ansatz HHJ 2013;VE 2013;Planung  2014;Planung  2015;Planung  2016
TFP Investitionssammelmaßnahmen;EUR;EUR;EUR;EUR;;EUR;;EUR;EUR;EUR
1 - Einzahlungen aus Investitionszuwendungen;;-192658;;;;;;;;
2 - Einzahlungen aus Veräußerungen von Sachanlagen;;;;-400000;;-400000;;-200000;-200000;-200000
3 - Einzahlungen aus Veräußerungen von Finanzanlagen;;;-200000;-22500;;;;;;
4- Einzahlungen aus Beiträgen und ähnlichen Entgelten;;;;;;;;;;
5 - Sonstige Investitionseinzahlungen;;;;;;;;;;
6 - Summe der investiven Einzahlungen;;-192658;-200000;-422500;;-400000;;-200000;-200000;-200000
7 - Auszahlungen für den Erwerb von Grundstücken/Gebäuden;;;;;;;;;;
8 - Auszahlungen für Baumaßnahmen;;;;;;;;;;
9 - Auszahlungen für den Erwerb von bewegl Anlagevermögen;316486;193626;204000;204000;;204000;;204000;204000;204000
10 - Auszahlungen für den Erwerb von Finanzanlagen;;;;;;;;;;
11 - Auszahlung für aktivierbare Zuwendungen test bw;;;;541500;;;;;;
12 - Sonstige Investitionsauszahlungen;;;;;;;;;;
13 - Summe der investiven Auszahlungen;316486;193626;204000;745500;;204000;;204000;204000;204000
4 = Saldo: (Einzahlungen / Auszahlungen);316486;969;4000;323000;;-196000;;4000;4000;4000
