;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-1.572.354,43 EUR";"-713.814,44 EUR";"-2.340.000,00 EUR";"-826.469,46 EUR";"-2.781.469,48 EUR";"-2.580.297,92 EUR";"-2.475.191,44 EUR";"-425.191,40 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-49.665,82 EUR";"-37.846,32 EUR";"-44.347,51 EUR";"-45.000,00 EUR";"-45.000,00 EUR";"-45.000,00 EUR";"-45.000,00 EUR";"-45.000,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"-2.342.276,81 EUR";"-2.157.747,29 EUR";"-2.896.643,00 EUR";"-2.965.820,00 EUR";"-2.863.820,00 EUR";"-2.863.820,00 EUR";"-2.965.820,00 EUR";"-2.965.820,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"-318.884,71 EUR";"-264.000,23 EUR";"-280.000,00 EUR";"-280.000,00 EUR";"-140.000,00 EUR";"-140.000,00 EUR";"-280.000,00 EUR";"-280.000,00 EUR"
"7 + Sonstige ordentliche Ertäge";"-34.141,01 EUR";"-14.255,11 EUR";"-500,00 EUR";"-10.112,28 EUR";"-10.112,28 EUR";"-10.112,28 EUR";"-10.112,28 EUR";"-10.112,27 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-4.317.322,78 EUR";"-3.187.663,39 EUR";"-5.561.490,51 EUR";"-4.127.401,74 EUR";"-5.840.401,76 EUR";"-5.639.230,20 EUR";"-5.776.123,72 EUR";"-3.726.123,67 EUR"
"11 - Personalaufwendungen";"5.993.515,88 EUR";"5.839.165,05 EUR";"5.769.521,52 EUR";"6.289.585,56 EUR";"6.391.947,69 EUR";"6.498.117,65 EUR";"6.616.583,45 EUR";"6.730.364,81 EUR"
"12 - Versorgungsaufwendungen";"5,10 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"6.458.605,81 EUR";"7.512.912,59 EUR";"7.551.526,00 EUR";"7.262.670,00 EUR";"7.050.170,00 EUR";"7.124.459,00 EUR";"7.363.531,00 EUR";"7.476.633,00 EUR"
"14 - Bilanzielle Abschreibungen";"1.071.474,94 EUR";"1.031.589,90 EUR";"910.094,20 EUR";"861.864,89 EUR";"723.709,16 EUR";"630.622,47 EUR";"611.698,92 EUR";"596.846,36 EUR"
"15 - Transferaufwendungen";"2.075.679,06 EUR";"990.311,25 EUR";"2.815.350,00 EUR";"1.275.350,00 EUR";"3.230.350,00 EUR";"3.030.350,00 EUR";"2.925.350,00 EUR";"875.350,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"10.172.065,89 EUR";"10.520.416,56 EUR";"12.612.056,54 EUR";"11.710.775,00 EUR";"11.132.775,00 EUR";"11.132.775,00 EUR";"11.672.775,00 EUR";"11.672.775,00 EUR"
"17 = Ordentliche Aufwendungen";"25.771.346,68 EUR";"25.894.395,35 EUR";"29.658.548,26 EUR";"27.400.245,45 EUR";"28.528.951,85 EUR";"28.416.324,12 EUR";"29.189.938,37 EUR";"27.351.969,17 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"21.454.023,90 EUR";"22.706.731,96 EUR";"24.097.057,75 EUR";"23.272.843,71 EUR";"22.688.550,09 EUR";"22.777.093,92 EUR";"23.413.814,65 EUR";"23.625.845,50 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"21.454.023,90 EUR";"22.706.731,96 EUR";"24.097.057,75 EUR";"23.272.843,71 EUR";"22.688.550,09 EUR";"22.777.093,92 EUR";"23.413.814,65 EUR";"23.625.845,50 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"21.454.023,90 EUR";"22.706.731,96 EUR";"24.097.057,75 EUR";"23.272.843,71 EUR";"22.688.550,09 EUR";"22.777.093,92 EUR";"23.413.814,65 EUR";"23.625.845,50 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"1.708.005,42 EUR";"1.208.019,36 EUR";"1.310.288,58 EUR";"1.114.072,97 EUR";"1.087.656,21 EUR";"1.104.451,32 EUR";"1.120.475,91 EUR";"1.129.609,64 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"23.162.029,32 EUR";"23.914.751,32 EUR";"25.407.346,33 EUR";"24.386.916,68 EUR";"23.776.206,30 EUR";"23.881.545,24 EUR";"24.534.290,56 EUR";"24.755.455,14 EUR"
