;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1685871,98;-1140556,65;-607835,81;-605849,62;-605451,66;-604352,60;-597830,54;-579498,80
3 + Sonstige Transfererträge;;;-50,00;0,00;0,00;0,00;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;-32096,79;0,00;0,00;0,00;;
5 + Privatrechtliche Leistungsentgelte;-5412948,36;-4437493,29;-6063950,00;-6281050,00;-6281050,00;-6281050,00;-6281050,00;-6281050,00
6 + Kostenerstattungen und Kostenumlagen;-468805,01;-506306,07;-401200,00;-464770,00;-464770,00;-464770,00;-464770,00;-464770,00
7 + Sonstige ordentliche Ertäge;-132408,11;-443009,35;-5450,00;-39935,02;-39327,90;-38894,85;-38802,24;-37175,72
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;-407,40;;;;;;;
10 = Ordentliche Erträge;-7700440,86;-6527365,36;-7110582,60;-7391604,64;-7390599,56;-7389067,45;-7382452,78;-7362494,52
11 - Personalaufwendungen;20727860,55;21009709,06;20157503,78;20046192,81;20353379,30;20664686,14;20905517,97;21124368,48
12 - Versorgungsaufwendungen;14,90;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;6126465,10;6579171,32;5611237,51;6380872,51;6453169,51;6587876,51;6621849,51;6707841,51
14 - Bilanzielle Abschreibungen;1453209,62;1413991,48;1268885,84;1354459,72;1325145,18;1306437,80;1181602,06;1131942,64
15 - Transferaufwendungen;18846919,89;16792525,53;16919200,00;16802000,00;16727700,00;16653800,00;16580200,00;16606900,00
16 - Sonstige ordentliche Aufwendungen;7586240,19;7920259,05;7267222,36;7778834,08;7597334,08;7599834,08;7608084,08;7608084,08
17 = Ordentliche Aufwendungen;54740710,25;53715656,44;51224049,49;52362359,12;52456728,07;52812634,53;52897253,62;53179136,71
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);47040269,39;47188291,08;44113466,89;44970754,48;45066128,51;45423567,08;45514800,84;45816642,19
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);47040269,39;47188291,08;44113466,89;44970754,48;45066128,51;45423567,08;45514800,84;45816642,19
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);47040269,39;47188291,08;44113466,89;44970754,48;45066128,51;45423567,08;45514800,84;45816642,19
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;4166014,23;3166924,29;3031158,78;2893917,29;2871488,40;2907417,36;2916395,23;2926308,20
29 = Ergebnis  (= 26, 27, 28);51206283,62;50355215,37;47144625,67;47864671,77;47937616,91;48330984,44;48431196,07;48742950,39
