TFP Investitionssammelmaßnahmen Doppelhaushalt;Ergebnis  &NKF_TKWI&;Ergebnis  &NKF_TKWI&;Ansatz   2011;Ansatz HHJ  2012;VE 2012;Ansatz HHJ 2013;VE 2013;Planung  2014;Planung  2015;Planung  2016
TFP Investitionssammelmaßnahmen;EUR;EUR;EUR;EUR;;EUR;;EUR;EUR;EUR
1 - Einzahlungen aus Investitionszuwendungen;-878253;-263004;-286700;-184300;;-166200;;-14500;-2800;
2 - Einzahlungen aus Veräußerungen von Sachanlagen;-3150;-1350;;;;;;;;
3 - Einzahlungen aus Veräußerungen von Finanzanlagen;;;;;;;;;;
4- Einzahlungen aus Beiträgen und ähnlichen Entgelten;;;;;;;;;;
5 - Sonstige Investitionseinzahlungen;;;;;;;;;;
6 - Summe der investiven Einzahlungen;-881403;-264354;-286700;-184300;;-166200;;-14500;-2800;
7 - Auszahlungen für den Erwerb von Grundstücken/Gebäuden;;;;;;;;;;
8 - Auszahlungen für Baumaßnahmen;795488;206470;422000;525000;;252000;;465000;545000;545000
9 - Auszahlungen für den Erwerb von bewegl Anlagevermögen;391652;165208;555400;590200;;510300;;288900;281800;280100
10 - Auszahlungen für den Erwerb von Finanzanlagen;;;;;;;;;;
11 - Auszahlung für aktivierbare Zuwendungen test bw;-430440;430440;;;;;;;;
12 - Sonstige Investitionsauszahlungen;;;;;;;;;;
13 - Summe der investiven Auszahlungen;756700;802118;977400;1115200;;762300;;753900;826800;825100
4 = Saldo: (Einzahlungen / Auszahlungen);-124704;537764;690700;930900;;596100;;739400;824000;825100
