"";"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-71,49 EUR";"-237,47 EUR";"-2,40 EUR";"-2,76 EUR";"-2,76 EUR";"-2,76 EUR";"-2,76 EUR";"-2,76 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-5.125,00 EUR";"-1.700.650,00 EUR";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-5.196,49 EUR";"-1.700.887,47 EUR";"-2,40 EUR";"-2,76 EUR";"-2,76 EUR";"-2,76 EUR";"-2,76 EUR";"-2,76 EUR"
"11 - Personalaufwendungen";"275.565,18 EUR";"297.032,65 EUR";"286.673,68 EUR";"264.824,61 EUR";"269.095,37 EUR";"273.442,75 EUR";"277.913,81 EUR";"282.044,17 EUR"
"12 - Versorgungsaufwendungen";"0,17 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"12.205,88 EUR";"10.636,57 EUR";"24.424,20 EUR";"32.517,44 EUR";"32.620,76 EUR";"32.726,96 EUR";"32.836,64 EUR";"32.949,44 EUR"
"14 - Bilanzielle Abschreibungen";"244,00 EUR";"403,07 EUR";"157,27 EUR";"122,23 EUR";"94,51 EUR";"94,52 EUR";"94,51 EUR";"94,16 EUR"
"15 - Transferaufwendungen";"53.194,00 EUR";"71.000,00 EUR";"71.000,00 EUR";"71.000,00 EUR";"71.000,00 EUR";"71.000,00 EUR";"71.000,00 EUR";"71.000,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"115.402,55 EUR";"1.692.083,00 EUR";"310.112,64 EUR";"105.114,64 EUR";"105.114,64 EUR";"105.114,64 EUR";"105.114,64 EUR";"105.114,64 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"456.611,78 EUR";"2.071.155,29 EUR";"692.367,79 EUR";"473.578,92 EUR";"477.925,28 EUR";"482.378,87 EUR";"486.959,60 EUR";"491.202,41 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"451.415,29 EUR";"370.267,82 EUR";"692.365,39 EUR";"473.576,16 EUR";"477.922,52 EUR";"482.376,11 EUR";"486.956,84 EUR";"491.199,65 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"451.415,29 EUR";"370.267,82 EUR";"692.365,39 EUR";"473.576,16 EUR";"477.922,52 EUR";"482.376,11 EUR";"486.956,84 EUR";"491.199,65 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"451.415,29 EUR";"370.267,82 EUR";"692.365,39 EUR";"473.576,16 EUR";"477.922,52 EUR";"482.376,11 EUR";"486.956,84 EUR";"491.199,65 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-486.951,28 EUR";"-410.893,74 EUR";"-721.348,28 EUR";"-499.971,68 EUR";"-504.066,13 EUR";"-508.924,74 EUR";"-513.699,58 EUR";"-518.112,90 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"35.510,90 EUR";"40.625,92 EUR";"28.982,89 EUR";"26.395,52 EUR";"26.143,61 EUR";"26.548,63 EUR";"26.742,74 EUR";"26.913,26 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"-25,09 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,01 EUR"
