;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-114.192,54 EUR";"-155.025,50 EUR";"-99.203,08 EUR";"-103.370,47 EUR";"-103.369,87 EUR";"-102.910,59 EUR";"-102.904,23 EUR";"-102.902,20 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-190.640,58 EUR";"-226.274,36 EUR";"-171.600,00 EUR";"-231.600,00 EUR";"-231.600,00 EUR";"-231.600,00 EUR";"-231.600,00 EUR";"-231.600,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"-4.984,00 EUR";"-4.572,00 EUR";"-4.250,00 EUR";"-18.500,00 EUR";"-18.500,00 EUR";"-18.500,00 EUR";"-18.500,00 EUR";"-18.500,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"-146,77 EUR";"-24,82 EUR";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-309.963,89 EUR";"-385.896,68 EUR";"-275.053,08 EUR";"-353.470,47 EUR";"-353.469,87 EUR";"-353.010,59 EUR";"-353.004,23 EUR";"-353.002,20 EUR"
"11 - Personalaufwendungen";"233.445,60 EUR";"237.492,68 EUR";"261.309,15 EUR";"245.351,59 EUR";"250.096,47 EUR";"255.254,07 EUR";"260.506,47 EUR";"265.079,11 EUR"
"12 - Versorgungsaufwendungen";"0,18 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"194.847,14 EUR";"165.848,25 EUR";"166.511,24 EUR";"170.583,56 EUR";"170.838,20 EUR";"171.100,40 EUR";"171.370,40 EUR";"171.648,68 EUR"
"14 - Bilanzielle Abschreibungen";"19.790,45 EUR";"20.470,91 EUR";"15.859,55 EUR";"18.785,61 EUR";"18.278,39 EUR";"14.436,45 EUR";"9.826,23 EUR";"9.353,16 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"36.679,58 EUR";"44.415,65 EUR";"20.655,16 EUR";"17.626,22 EUR";"17.626,22 EUR";"17.626,22 EUR";"17.626,22 EUR";"17.626,22 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"484.762,95 EUR";"468.227,49 EUR";"464.335,10 EUR";"452.346,98 EUR";"456.839,28 EUR";"458.417,14 EUR";"459.329,32 EUR";"463.707,17 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"174.799,06 EUR";"82.330,81 EUR";"189.282,02 EUR";"98.876,51 EUR";"103.369,41 EUR";"105.406,55 EUR";"106.325,09 EUR";"110.704,97 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"174.799,06 EUR";"82.330,81 EUR";"189.282,02 EUR";"98.876,51 EUR";"103.369,41 EUR";"105.406,55 EUR";"106.325,09 EUR";"110.704,97 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"174.799,06 EUR";"82.330,81 EUR";"189.282,02 EUR";"98.876,51 EUR";"103.369,41 EUR";"105.406,55 EUR";"106.325,09 EUR";"110.704,97 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-9.491,76 EUR";"-7.608,82 EUR";"-12.000,00 EUR";"-12.000,00 EUR";"-12.000,00 EUR";"-12.000,00 EUR";"-12.000,00 EUR";"-12.000,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"63.631,26 EUR";"42.562,48 EUR";"49.071,55 EUR";"41.665,70 EUR";"41.258,47 EUR";"41.783,90 EUR";"42.010,84 EUR";"42.195,78 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"228.938,56 EUR";"117.284,47 EUR";"226.353,57 EUR";"128.542,21 EUR";"132.627,88 EUR";"135.190,45 EUR";"136.335,93 EUR";"140.900,75 EUR"
