;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-134,06 EUR";"-33,95 EUR";"-4,44 EUR";"-3,84 EUR";"-3,84 EUR";"-3,84 EUR";"-3,84 EUR";"-3,84 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-134,06 EUR";"-33,95 EUR";"-254,44 EUR";"-253,84 EUR";"-253,84 EUR";"-253,84 EUR";"-253,84 EUR";"-253,84 EUR"
"11 - Personalaufwendungen";"533.789,65 EUR";"493.864,66 EUR";"547.689,26 EUR";"354.985,32 EUR";"359.064,23 EUR";"362.782,77 EUR";"367.735,06 EUR";"373.344,07 EUR"
"12 - Versorgungsaufwendungen";"0,29 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"21.278,86 EUR";"13.209,77 EUR";"55.228,00 EUR";"54.957,16 EUR";"55.140,76 EUR";"55.329,64 EUR";"55.524,40 EUR";"55.724,84 EUR"
"14 - Bilanzielle Abschreibungen";"1.730,01 EUR";"1.403,28 EUR";"1.456,97 EUR";"798,83 EUR";"366,60 EUR";"358,53 EUR";"269,88 EUR";"263,62 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"12.244,30 EUR";"11.220,33 EUR";"14.953,36 EUR";"13.067,16 EUR";"13.067,16 EUR";"13.067,16 EUR";"13.067,16 EUR";"13.067,16 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"569.043,11 EUR";"519.698,04 EUR";"619.327,59 EUR";"423.808,47 EUR";"427.638,75 EUR";"431.538,10 EUR";"436.596,50 EUR";"442.399,69 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"568.909,05 EUR";"519.664,09 EUR";"619.073,15 EUR";"423.554,63 EUR";"427.384,91 EUR";"431.284,26 EUR";"436.342,66 EUR";"442.145,85 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"568.909,05 EUR";"519.664,09 EUR";"619.073,15 EUR";"423.554,63 EUR";"427.384,91 EUR";"431.284,26 EUR";"436.342,66 EUR";"442.145,85 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"568.909,05 EUR";"519.664,09 EUR";"619.073,15 EUR";"423.554,63 EUR";"427.384,91 EUR";"431.284,26 EUR";"436.342,66 EUR";"442.145,85 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"126.038,40 EUR";"89.496,36 EUR";"102.884,91 EUR";"124.519,23 EUR";"124.084,74 EUR";"124.529,79 EUR";"124.739,16 EUR";"124.972,53 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"694.947,45 EUR";"609.160,45 EUR";"721.958,06 EUR";"548.073,86 EUR";"551.469,65 EUR";"555.814,05 EUR";"561.081,82 EUR";"567.118,38 EUR"
