;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;-135743,85;-34111,57;-78869,85;-60381,96;-45232,04;-22356,81;-22264,30
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;-261401,89;-250220,04;-240285,12;-240285,12;-240285,12;-240285,12;-240285,12
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Ertäge;;-63,18;;-155,26;-155,29;-155,26;-92,07;-92,06
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;-397208,92;-284331,61;-319310,23;-300822,37;-285672,42;-262734,00;-262641,48
11 - Personalaufwendungen;;318728,98;320848,59;338561,36;339816,69;340030,65;343545,09;349591,53
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;0,00;1997278,13;1870898,36;1883340,68;1883340,68;1907206,88;1955655,08;2005556,88
14 - Bilanzielle Abschreibungen;;167249,69;77270,24;177937,29;157243,60;116190,55;91516,40;67008,27
15 - Transferaufwendungen;;31112,78;30900,00;30900,00;30900,00;30900,00;30900,00;30900,00
16 - Sonstige ordentliche Aufwendungen;;2445413,53;2554384,71;2434454,56;2434454,56;2434454,56;2434454,56;2434454,56
17 = Ordentliche Aufwendungen;0,00;4959783,11;4854301,90;4865193,89;4845755,53;4828782,64;4856071,13;4887511,24
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);0,00;4562574,19;4569970,29;4545883,66;4544933,16;4543110,22;4593337,13;4624869,76
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);0,00;4562574,19;4569970,29;4545883,66;4544933,16;4543110,22;4593337,13;4624869,76
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);0,00;4562574,19;4569970,29;4545883,66;4544933,16;4543110,22;4593337,13;4624869,76
27 + Erträge aus internen Leistungsbeziehungen;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;;343020,84;313008,70;307095,76;303657,33;306202,31;308546,47;311033,45
29 = Ergebnis  (= 26, 27, 28);0,00;4905595,03;4882978,99;4852979,42;4848590,49;4849312,53;4901883,60;4935903,21
