;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-8003,01;-12258,77;-386,91;-12263,11;-12144,11;-5801,41;-29,91;-29,91
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-369577,91;-357524,60;-370119,32;-377634,90;-377982,46;-378002,35;-378085,41;-378181,46
7 + Sonstige ordentliche Ertäge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-377580,92;-369783,37;-370506,23;-389898,01;-390126,57;-383803,76;-378115,32;-378211,37
11 - Personalaufwendungen;1456252,74;1507039,87;1513660,42;1469417,72;1484610,40;1497138,80;1511822,36;1528653,24
12 - Versorgungsaufwendungen;0,80;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;35229,19;44827,53;87584,08;79813,40;80847,68;81912,56;83009,80;84139,40
14 - Bilanzielle Abschreibungen;13308,92;18039,42;16743,09;13165,76;12755,33;6157,96;29,91;29,91
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;37508,22;36992,62;47014,40;50766,72;50766,72;50766,72;50766,72;50766,72
17 = Ordentliche Aufwendungen;1542299,87;1606899,44;1665001,99;1613163,60;1628980,13;1635976,04;1645628,79;1663589,27
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);1164718,95;1237116,07;1294495,76;1223265,59;1238853,56;1252172,28;1267513,47;1285377,90
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);1164718,95;1237116,07;1294495,76;1223265,59;1238853,56;1252172,28;1267513,47;1285377,90
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);1164718,95;1237116,07;1294495,76;1223265,59;1238853,56;1252172,28;1267513,47;1285377,90
27 + Erträge aus internen Leistungsbeziehungen;-1225843,26;-1288912,61;-1327848,57;-1283097,40;-1296016,06;-1308434,25;-1322663,11;-1339233,11
28 - Aufwendungen aus internen Leistungsbeziehungen;159472,51;156302,72;141015,53;163866,24;162244,93;162351,30;162393,03;162442,12
29 = Ergebnis  (= 26, 27, 28);98348,20;104506,18;107662,72;104034,43;105082,43;106089,33;107243,39;108586,91
