;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-32.760,56 EUR";"-66.904,19 EUR";"-25.381,87 EUR";"-72.278,31 EUR";"-72.167,70 EUR";"-72.142,93 EUR";"-70.973,30 EUR";"-68.185,60 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"0,00 EUR";"-472,11 EUR";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"-629,74 EUR";"-512,11 EUR";"-50,00 EUR";"-552,10 EUR";"-552,11 EUR";"-550,41 EUR";"-548,72 EUR";"-548,72 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-33.390,30 EUR";"-67.416,30 EUR";"-25.903,98 EUR";"-72.830,41 EUR";"-72.719,81 EUR";"-72.693,34 EUR";"-71.522,02 EUR";"-68.734,32 EUR"
"11 - Personalaufwendungen";"142.857,42 EUR";"125.254,09 EUR";"134.537,60 EUR";"153.862,48 EUR";"150.055,77 EUR";"144.338,89 EUR";"141.684,93 EUR";"142.658,96 EUR"
"12 - Versorgungsaufwendungen";"0,80 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"107.632,12 EUR";"57.335,45 EUR";"75.467,24 EUR";"80.228,64 EUR";"79.801,76 EUR";"80.437,48 EUR";"81.092,96 EUR";"81.767,28 EUR"
"14 - Bilanzielle Abschreibungen";"57.185,49 EUR";"64.215,98 EUR";"38.199,50 EUR";"63.606,91 EUR";"62.156,70 EUR";"56.075,15 EUR";"53.365,68 EUR";"45.437,59 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"237.490,95 EUR";"142.532,44 EUR";"152.424,05 EUR";"154.838,70 EUR";"155.744,30 EUR";"156.626,34 EUR";"157.426,34 EUR";"158.176,26 EUR"
"17 = Ordentliche Aufwendungen";"545.166,78 EUR";"389.337,96 EUR";"400.628,39 EUR";"452.536,73 EUR";"447.758,53 EUR";"437.477,86 EUR";"433.569,91 EUR";"428.040,09 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"511.776,48 EUR";"321.921,66 EUR";"374.724,41 EUR";"379.706,32 EUR";"375.038,72 EUR";"364.784,52 EUR";"362.047,89 EUR";"359.305,77 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"511.776,48 EUR";"321.921,66 EUR";"374.724,41 EUR";"379.706,32 EUR";"375.038,72 EUR";"364.784,52 EUR";"362.047,89 EUR";"359.305,77 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"511.776,48 EUR";"321.921,66 EUR";"374.724,41 EUR";"379.706,32 EUR";"375.038,72 EUR";"364.784,52 EUR";"362.047,89 EUR";"359.305,77 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"87.918,27 EUR";"50.579,72 EUR";"41.253,31 EUR";"51.920,95 EUR";"51.342,19 EUR";"51.224,94 EUR";"51.099,24 EUR";"51.151,60 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"599.694,75 EUR";"372.501,38 EUR";"415.977,72 EUR";"431.627,27 EUR";"426.380,91 EUR";"416.009,46 EUR";"413.147,13 EUR";"410.457,37 EUR"
