;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-80695,82;-52928,68;-14975,00;-28954,71;-24622,99;-21620,68;-15228,52;-14625,62
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-4835018,14;-4506881,07;-4635000,00;-4520000,00;-4520000,00;-4520000,00;-4520000,00;-4520000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-55709,61;-70289,77;-100000,00;-50000,00;-50000,00;-50000,00;-50000,00;-50000,00
7 + Sonstige ordentliche Ertäge;-8934403,46;-8970645,45;-7913000,00;-8933000,00;-8933000,00;-8933000,00;-8933000,00;-8933000,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-13905827,03;-13600744,97;-12662975,00;-13531954,71;-13527622,99;-13524620,68;-13518228,52;-13517625,62
11 - Personalaufwendungen;8314602,79;8609845,61;9210853,00;10093509,28;10252649,77;10413709,29;10582485,40;10740463,65
12 - Versorgungsaufwendungen;7,54;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;1959962,66;1009017,80;834886,00;1027072,00;1034634,00;1042369,00;1050282,00;1058378,00
14 - Bilanzielle Abschreibungen;204017,62;189515,33;166681,77;176870,90;130836,54;119973,80;110483,51;99592,54
15 - Transferaufwendungen;147936,00;128000,00;128000,00;128000,00;128000,00;128000,00;128000,00;128000,00
16 - Sonstige ordentliche Aufwendungen;1742097,47;2484013,92;899120,63;402756,00;425458,00;403156,00;403260,00;403460,00
17 = Ordentliche Aufwendungen;12368624,08;12420392,66;11239541,40;11828208,18;11971578,31;12107208,09;12274510,91;12429894,19
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);-1537202,95;-1180352,31;-1423433,60;-1703746,53;-1556044,68;-1417412,59;-1243717,61;-1087731,43
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;8,84;15610,93;;;;;;
21 = Finanzergebnis (=19 +20);8,84;15610,93;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);-1537194,11;-1164741,38;-1423433,60;-1703746,53;-1556044,68;-1417412,59;-1243717,61;-1087731,43
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);-1537194,11;-1164741,38;-1423433,60;-1703746,53;-1556044,68;-1417412,59;-1243717,61;-1087731,43
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;4048061,50;3678720,10;3721559,85;3916049,03;3906811,19;3920868,69;3927879,50;3934076,24
29 = Ergebnis  (= 26, 27, 28);2510867,39;2513978,72;2298126,25;2212302,50;2350766,51;2503456,10;2684161,89;2846344,81
