;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-92145,03;-149627,76;-86818,58;-184559,57;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;-50000,00;-50000,00;-50000,00;-50000,00;-50000,00
7 + Sonstige ordentliche Ertäge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-92145,03;-149627,76;-86818,58;-234559,57;-50000,00;-50000,00;-50000,00;-50000,00
11 - Personalaufwendungen;801867,50;865912,41;1070882,48;754785,76;761383,48;766329,20;773519,16;782791,64
12 - Versorgungsaufwendungen;0,53;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;227396,26;265761,51;329287,64;355729,60;306201,32;306687,44;307188,20;307703,60
14 - Bilanzielle Abschreibungen;404498,29;457835,85;397154,11;493594,15;1255,45;1255,45;1255,45;1046,21
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;428587,78;428749,22;449433,00;310757,28;310757,28;310757,28;310757,28;310757,28
17 = Ordentliche Aufwendungen;1862350,36;2018258,99;2246757,23;1914866,79;1379597,53;1385029,37;1392720,09;1402298,73
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);1770205,33;1868631,23;2159938,65;1680307,22;1329597,53;1335029,37;1342720,09;1352298,73
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);1770205,33;1868631,23;2159938,65;1680307,22;1329597,53;1335029,37;1342720,09;1352298,73
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);1770205,33;1868631,23;2159938,65;1680307,22;1329597,53;1335029,37;1342720,09;1352298,73
27 + Erträge aus internen Leistungsbeziehungen;-1851401,94;-1946558,49;-2238663,33;-1748582,78;-1397873,09;-1403304,93;-1410995,65;-1420574,29
28 - Aufwendungen aus internen Leistungsbeziehungen;189734,93;102851,56;78724,68;119213,37;116726,98;117584,54;117830,83;118151,61
29 = Ergebnis  (= 26, 27, 28);108538,32;24924,30;0,00;50937,81;48451,42;49308,98;49555,27;49876,05
