;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1721020,00;-718673,77;-2617458,35;-1800237,96;-1055409,85;-292089,33;-199529,11;-199428,62
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-108976607,67;-113224909,81;-107356700,00;-107678226,00;-107678226,00;-107678226,00;-107678226,00;-107683226,00
5 + Privatrechtliche Leistungsentgelte;-644752,93;-665153,06;-513050,00;-653100,00;-653100,00;-653100,00;-653000,00;-653000,00
6 + Kostenerstattungen und Kostenumlagen;-2220724,89;-6409727,92;-1058320,49;-1053571,81;-1053367,06;-1053238,04;-1053229,41;-1053220,89
7 + Sonstige ordentliche Ertäge;-554985,63;-1654707,12;-8200,00;-8200,00;-8200,00;-8200,00;-8200,00;-8200,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;-25000,00;;;;;;;
10 = Ordentliche Erträge;-114143091,12;-122673171,68;-111553728,84;-111193335,77;-110448302,91;-109684853,37;-109592184,52;-109597075,51
11 - Personalaufwendungen;13254630,16;12891406,50;13060761,64;11425382,27;11619311,51;11822371,86;11938428,88;12133481,04
12 - Versorgungsaufwendungen;9,22;;0,00;0,00;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;4516957,67;3536953,70;3991771,37;3946386,09;3973994,49;4147303,61;4083922,09;4002008,25
14 - Bilanzielle Abschreibungen;8054938,76;8438370,63;8605725,60;8799497,10;8755926,90;8721161,47;8672665,04;8639840,38
15 - Transferaufwendungen;1161578,03;289648,72;422895,00;379845,00;379845,00;379845,00;379845,00;379845,00
16 - Sonstige ordentliche Aufwendungen;93872346,62;105312694,57;91523756,13;90979048,36;89979809,36;89021109,36;88717059,36;88717059,36
17 = Ordentliche Aufwendungen;120860460,46;130469074,12;117604909,74;115530158,82;114708887,26;114091791,30;113791920,37;113872234,03
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);6717369,34;7795902,44;6051180,90;4336823,05;4260584,35;4406937,93;4199735,85;4275158,52
19 + Finanzerträge;;;0,00;0,00;;;;
20 - Zinsen und sonstige Finanzaufwendungen;172701,08;7594,04;15100,00;15100,00;15100,00;15100,00;15100,00;15100,00
21 = Finanzergebnis (=19 +20);172701,08;7594,04;15100,00;15100,00;15100,00;15100,00;15100,00;15100,00
22 = Ordentliches Ergebnis (=18 + 21);6890070,42;7803496,48;6066280,90;4351923,05;4275684,35;4422037,93;4214835,85;4290258,52
23 + Außerordentliche Erträge;;;0,00;0,00;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;0,00;0,00;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);6890070,42;7803496,48;6066280,90;4351923,05;4275684,35;4422037,93;4214835,85;4290258,52
27 + Erträge aus internen Leistungsbeziehungen;-1524333,91;-1358012,54;-1956299,55;-1327910,93;-1320007,56;-1318255,94;-1323160,95;-1327787,39
28 - Aufwendungen aus internen Leistungsbeziehungen;4319472,65;3528662,15;3755331,01;3863900,51;3851572,95;3880129,94;3880935,94;3884435,58
29 = Ergebnis  (= 26, 27, 28);9685209,16;9974146,09;7865312,36;6887912,63;6807249,74;6983911,93;6772610,84;6846906,71
