;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1264920,11;-2503868,94;-4330285,35;-1463300,01;-369665,00;-851707,00;-333765,65;-232074,35
3 + Sonstige Transfererträge;-63343,82;-18855,40;-25550,00;-25550,00;-25550,00;-25550,00;-25550,00;-25550,00
4 + Öffentlich-rechtliche Leistungsentgelte;-2161974,14;-1767730,31;-2278894,94;-2278700,00;-2278700,00;-2278700,00;-2278700,00;-2278700,00
5 + Privatrechtliche Leistungsentgelte;-1086,23;-51680,34;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-205690,26;-54598,47;-160023,88;-157774,48;-159023,97;-159581,16;-159570,08;-159390,35
7 + Sonstige ordentliche Ertäge;-548294,25;-662809,59;-98576,00;-81744,94;-81550,00;-81550,00;-81550,00;-81550,00
8 + Aktivierte Eigenleistungen;0,00;0,00;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-4245308,81;-5059543,05;-6893330,17;-4007069,43;-2914488,97;-3397088,16;-2879135,73;-2777264,70
11 - Personalaufwendungen;14908040,46;14995220,82;16339155,56;14397765,98;14577345,21;14739749,39;14904265,73;15068984,39
12 - Versorgungsaufwendungen;8,87;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;612952,11;932717,92;1647175,68;887188,24;618920,44;982170,12;738580,28;628788,68
14 - Bilanzielle Abschreibungen;60392,57;51814,57;47428,97;50750,77;34247,32;25456,67;25378,65;25266,49
15 - Transferaufwendungen;1505068,40;2809481,18;3904000,00;1309898,00;448319,00;653684,00;301550,00;297550,00
16 - Sonstige ordentliche Aufwendungen;3978432,14;3934912,98;4032665,37;3862978,76;3866052,76;3869071,76;3916696,76;3873321,76
17 = Ordentliche Aufwendungen;21064894,55;22724147,47;25970425,58;20508581,75;19544884,73;20270131,94;19886471,42;19893911,32
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);16819585,74;17664604,42;19077095,41;16501512,32;16630395,76;16873043,78;17007335,69;17116646,62
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;3338,86;;;;;;
21 = Finanzergebnis (=19 +20);;3338,86;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);16819585,74;17667943,28;19077095,41;16501512,32;16630395,76;16873043,78;17007335,69;17116646,62
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);16819585,74;17667943,28;19077095,41;16501512,32;16630395,76;16873043,78;17007335,69;17116646,62
27 + Erträge aus internen Leistungsbeziehungen;-8780500,89;-7135382,97;-7558245,81;-6367186,60;-6403192,06;-6486869,46;-6531697,73;-6574445,05
28 - Aufwendungen aus internen Leistungsbeziehungen;3296965,84;2795583,04;2974765,19;2800780,18;2783350,22;2789924,25;2792968,87;2796291,57
29 = Ergebnis  (= 26, 27, 28);11336050,69;13328143,35;14493614,79;12935105,90;13010553,92;13176098,57;13268606,83;13338493,14
