;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-588452,68;-706629,74;-482969,41;-637909,54;-630435,03;-618928,75;-581348,20;-553262,30
3 + Sonstige Transfererträge;-35761,06;-30987,80;-47500,00;-47500,00;-47500,00;-47500,00;-47500,00;-47500,00
4 + Öffentlich-rechtliche Leistungsentgelte;-20237931,80;-18978911,40;-20353444,89;-21521700,00;-21521700,00;-21521700,00;-21521700,00;-21521700,00
5 + Privatrechtliche Leistungsentgelte;-630761,60;-672798,21;-631200,00;-627500,00;-627500,00;-616300,00;-616300,00;-616300,00
6 + Kostenerstattungen und Kostenumlagen;-2250963,16;-1068908,59;-854009,65;-726000,00;-726000,00;-726000,00;-726000,00;-726000,00
7 + Sonstige ordentliche Ertäge;-9317882,38;-9585186,56;-7941900,00;-8981994,90;-8981994,89;-8981009,95;-8980925,00;-8980925,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-33061752,68;-31043422,30;-30311023,95;-32542604,44;-32535129,92;-32511438,70;-32473773,20;-32445687,30
11 - Personalaufwendungen;35327046,57;36159670,45;41249070,41;55713115,88;54938507,12;53667065,72;53208270,31;53685670,48
12 - Versorgungsaufwendungen;26,48;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;5549088,65;4948093,92;4844532,00;5508560,36;5520082,16;5569974,72;5620282,68;5672043,40
14 - Bilanzielle Abschreibungen;2193486,51;2367804,44;1638534,74;1825791,47;1584991,71;1491777,62;1189147,82;998034,39
15 - Transferaufwendungen;2163023,00;1815733,00;1623241,00;1360745,00;1248509,00;1135718,00;1135718,00;1135718,00
16 - Sonstige ordentliche Aufwendungen;11777977,86;10973802,76;9848543,99;10345676,44;10358878,44;10347076,44;10353680,44;10359380,44
17 = Ordentliche Aufwendungen;57010649,07;56265104,57;59203922,14;74753889,15;73650968,43;72211612,50;71507099,25;71850846,71
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);23948896,39;25221682,27;28892898,19;42211284,71;41115838,51;39700173,80;39033326,05;39405159,41
19 + Finanzerträge;;-112438,63;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;29,32;15610,93;;;;;;
21 = Finanzergebnis (=19 +20);29,32;-96827,70;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);23948925,71;25124854,57;28892898,19;42211284,71;41115838,51;39700173,80;39033326,05;39405159,41
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);23948925,71;25124854,57;28892898,19;42211284,71;41115838,51;39700173,80;39033326,05;39405159,41
27 + Erträge aus internen Leistungsbeziehungen;-447338,09;-367712,86;-621799,26;-235700,04;-235700,04;-235700,04;-235700,04;-235700,04
28 - Aufwendungen aus internen Leistungsbeziehungen;11079211,84;9531715,41;9761611,61;8976220,86;8843187,07;8814852,49;8786023,73;8803132,68
29 = Ergebnis  (= 26, 27, 28);34580799,46;34288857,12;38032710,54;50951805,53;49723325,54;48279326,25;47583649,74;47972592,05
