;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-733404,99;-941388,43;-436601,07;-945359,84;-580591,66;-301479,06;-111766,20;-40250,38
3 + Sonstige Transfererträge;0,00;0,00;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-159332,55;-117043,23;-250741,33;-251250,00;-251250,00;-251250,00;-251250,00;-251250,00
5 + Privatrechtliche Leistungsentgelte;-2005322,95;-1991521,73;-1619500,00;-1723500,00;-1723500,00;-1723500,00;-1723500,00;-1723500,00
6 + Kostenerstattungen und Kostenumlagen;-5484871,46;-4315286,71;-3566093,60;-5866138,15;-6124690,17;-6064363,43;-6054364,90;-5814503,76
7 + Sonstige ordentliche Ertäge;-6098110,09;-6270916,12;-1238050,00;-1367213,36;-1367099,48;-1366650,00;-1366650,00;-1366650,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-14481042,04;-13636156,22;-7110986,00;-10153461,35;-10047131,31;-9707242,49;-9507531,10;-9196154,14
11 - Personalaufwendungen;28773392,57;29452532,98;31618739,33;29528831,86;29849460,10;30125749,82;30464445,66;30848235,07
12 - Versorgungsaufwendungen;21,05;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;4785959,28;4238006,49;4465101,34;5461446,26;5549652,30;5724766,98;5791519,66;5423922,10
14 - Bilanzielle Abschreibungen;8092774,35;21808871,15;2003215,74;2197970,00;1405596,29;1027031,69;821241,62;548154,19
15 - Transferaufwendungen;87161,32;83282,69;2550,00;0,00;0,00;0,00;0,00;0,00
16 - Sonstige ordentliche Aufwendungen;13283647,15;7566025,63;6602709,35;8024541,36;7831724,36;7832224,36;7832224,36;7832224,36
17 = Ordentliche Aufwendungen;55022955,72;63148718,94;44692315,76;45212789,48;44636433,05;44709772,85;44909431,30;44652535,72
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);40541913,68;49512562,72;37581329,76;35059328,13;34589301,74;35002530,36;35401900,20;35456381,58
19 + Finanzerträge;-163767,18;-86011,66;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);-163767,18;-86011,66;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);40378146,50;49426551,06;37581329,76;35059328,13;34589301,74;35002530,36;35401900,20;35456381,58
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);40378146,50;49426551,06;37581329,76;35059328,13;34589301,74;35002530,36;35401900,20;35456381,58
27 + Erträge aus internen Leistungsbeziehungen;-37590742,88;-28824811,09;-28865662,56;-29505869,72;-29079327,38;-29099622,01;-29141660,43;-29208907,91
28 - Aufwendungen aus internen Leistungsbeziehungen;1532066,10;1353066,89;1489960,62;1528775,14;1538119,78;1561743,96;1569968,80;1565808,58
29 = Ergebnis  (= 26, 27, 28);4319469,72;21954806,86;10205627,82;7082233,55;7048094,14;7464652,31;7830208,57;7813282,25
