"";"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"";"-96.210,62 EUR";"-38.739,72 EUR";"-78.803,54 EUR";"-60.705,35 EUR";"-49.887,38 EUR";"-26.651,49 EUR";"-26.320,12 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"-187,50 EUR";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"-230.773,33 EUR";"-220.901,76 EUR";"-213.710,88 EUR";"-213.710,88 EUR";"-213.710,88 EUR";"-213.710,88 EUR";"-213.710,88 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"0,00 EUR";"";"-18.000,00 EUR";"-18.000,00 EUR";"-18.000,00 EUR";"-18.000,00 EUR";"-18.000,00 EUR";"-18.000,00 EUR"
"7 + Sonstige ordentliche Ertäge";"";"-4.170,80 EUR";"-6.000,00 EUR";"-6.250,70 EUR";"-6.250,72 EUR";"-6.250,70 EUR";"-6.187,50 EUR";"-6.187,50 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"0,00 EUR";"-331.154,75 EUR";"-283.828,98 EUR";"-316.765,12 EUR";"-298.666,95 EUR";"-287.848,96 EUR";"-264.549,87 EUR";"-264.218,50 EUR"
"11 - Personalaufwendungen";"";"399.963,40 EUR";"378.764,86 EUR";"426.247,90 EUR";"432.203,86 EUR";"438.066,62 EUR";"444.490,46 EUR";"450.597,46 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"0,00 EUR";"1.618.204,48 EUR";"1.488.759,96 EUR";"1.509.628,28 EUR";"1.509.628,28 EUR";"1.530.854,96 EUR";"1.573.945,16 EUR";"1.618.328,00 EUR"
"14 - Bilanzielle Abschreibungen";"";"136.838,98 EUR";"79.495,23 EUR";"155.504,85 EUR";"134.550,69 EUR";"96.804,29 EUR";"71.477,07 EUR";"46.281,51 EUR"
"15 - Transferaufwendungen";"";"124.549,59 EUR";"161.700,00 EUR";"161.700,00 EUR";"161.700,00 EUR";"161.700,00 EUR";"161.700,00 EUR";"161.700,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"";"2.066.828,95 EUR";"2.164.981,57 EUR";"2.045.399,68 EUR";"2.045.399,68 EUR";"2.045.399,68 EUR";"2.045.399,68 EUR";"2.045.399,68 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"0,00 EUR";"4.346.385,40 EUR";"4.273.701,62 EUR";"4.298.480,71 EUR";"4.283.482,51 EUR";"4.272.825,55 EUR";"4.297.012,37 EUR";"4.322.306,65 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"0,00 EUR";"4.015.230,65 EUR";"3.989.872,64 EUR";"3.981.715,59 EUR";"3.984.815,56 EUR";"3.984.976,59 EUR";"4.032.462,50 EUR";"4.058.088,15 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"0,00 EUR";"4.015.230,65 EUR";"3.989.872,64 EUR";"3.981.715,59 EUR";"3.984.815,56 EUR";"3.984.976,59 EUR";"4.032.462,50 EUR";"4.058.088,15 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"0,00 EUR";"4.015.230,65 EUR";"3.989.872,64 EUR";"3.981.715,59 EUR";"3.984.815,56 EUR";"3.984.976,59 EUR";"4.032.462,50 EUR";"4.058.088,15 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"";"335.064,60 EUR";"296.463,61 EUR";"301.466,13 EUR";"298.711,57 EUR";"301.238,59 EUR";"303.492,00 EUR";"305.743,57 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"0,00 EUR";"4.350.295,25 EUR";"4.286.336,25 EUR";"4.283.181,72 EUR";"4.283.527,13 EUR";"4.286.215,18 EUR";"4.335.954,50 EUR";"4.363.831,72 EUR"
