"";"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-1.547,43 EUR";"-72,35 EUR";"";"-72,36 EUR";"-72,35 EUR";"-72,36 EUR";"-72,35 EUR";"-72,36 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"-500,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"-5.791,66 EUR";"-4.325,80 EUR";"-8.493,58 EUR";"-6.859,61 EUR";"-6.939,43 EUR";"-6.924,27 EUR";"-6.918,57 EUR";"-6.908,13 EUR"
"7 + Sonstige ordentliche Ertäge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-7.839,09 EUR";"-4.648,15 EUR";"-8.743,58 EUR";"-7.181,97 EUR";"-7.261,78 EUR";"-7.246,63 EUR";"-7.240,92 EUR";"-7.230,49 EUR"
"11 - Personalaufwendungen";"399.085,77 EUR";"431.197,27 EUR";"633.980,96 EUR";"278.561,83 EUR";"281.524,17 EUR";"283.933,57 EUR";"286.280,79 EUR";"288.802,27 EUR"
"12 - Versorgungsaufwendungen";"0,25 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"12.958,11 EUR";"21.168,36 EUR";"19.950,00 EUR";"21.153,00 EUR";"21.549,00 EUR";"21.957,00 EUR";"22.377,00 EUR";"22.810,00 EUR"
"14 - Bilanzielle Abschreibungen";"1.856,22 EUR";"381,11 EUR";"381,14 EUR";"329,67 EUR";"72,35 EUR";"72,36 EUR";"72,35 EUR";"72,36 EUR"
"15 - Transferaufwendungen";"";"5.500,00 EUR";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"53.204,86 EUR";"42.562,87 EUR";"69.662,32 EUR";"68.670,92 EUR";"68.670,92 EUR";"68.670,92 EUR";"68.670,92 EUR";"68.670,92 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"467.105,21 EUR";"500.809,61 EUR";"723.974,42 EUR";"368.715,42 EUR";"371.816,44 EUR";"374.633,85 EUR";"377.401,06 EUR";"380.355,55 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"459.266,12 EUR";"496.161,46 EUR";"715.230,84 EUR";"361.533,45 EUR";"364.554,66 EUR";"367.387,22 EUR";"370.160,14 EUR";"373.125,06 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"459.266,12 EUR";"496.161,46 EUR";"715.230,84 EUR";"361.533,45 EUR";"364.554,66 EUR";"367.387,22 EUR";"370.160,14 EUR";"373.125,06 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"459.266,12 EUR";"496.161,46 EUR";"715.230,84 EUR";"361.533,45 EUR";"364.554,66 EUR";"367.387,22 EUR";"370.160,14 EUR";"373.125,06 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-460.683,49 EUR";"-500.239,32 EUR";"-742.617,01 EUR";"-405.872,56 EUR";"-408.378,08 EUR";"-411.017,84 EUR";"-413.588,91 EUR";"-416.338,65 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"38.769,87 EUR";"44.637,59 EUR";"87.597,96 EUR";"77.247,46 EUR";"76.934,74 EUR";"76.956,10 EUR";"76.962,94 EUR";"76.970,26 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"37.352,50 EUR";"40.559,73 EUR";"60.211,79 EUR";"32.908,35 EUR";"33.111,32 EUR";"33.325,48 EUR";"33.534,17 EUR";"33.756,67 EUR"
