;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-3468,47;-119630,05;-1890000,00;-120538,02;-2385538,03;-2255538,02;-2150538,03;-100538,02
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-119988,75;-116140,63;-85000,00;-110000,00;-8000,00;-8000,00;-110000,00;-110000,00
6 + Kostenerstattungen und Kostenumlagen;-318884,71;-263048,23;-280000,00;-280000,00;-140000,00;-140000,00;-280000,00;-280000,00
7 + Sonstige ordentliche Ertäge;-3457,50;;-100,00;-100,00;-100,00;-100,00;-100,00;-100,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge (Summe 1-9);-445799,43;-498818,91;-2255100,00;-510638,02;-2533638,03;-2403638,02;-2540638,03;-490638,02
11 - Personalaufwendungen;300632,62;301382,89;267552,26;310905,14;316226,62;321807,20;327826,96;333446,86
12 - Versorgungsaufwendungen;0,23;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;348412,20;362210,88;318263,76;415945,84;203445,84;227986,88;366070,28;375156,08
14 - Bilanzielle Abschreibungen;14193,76;18285,28;10386,78;9826,32;5936,79;5296,95;5082,40;4694,89
15 - Transferaufwendungen;;111794,25;1890000,00;120000,00;2385000,00;2255000,00;2150000,00;100000,00
16 - Sonstige ordentliche Aufwendungen;1033438,75;1065198,42;1091259,96;1090522,63;550522,63;550522,63;1090522,63;1090522,63
17 = Ordentliche Aufwendungen (Summe 11-16);1696677,56;1858871,72;3577462,76;1947199,93;3461131,88;3360613,66;3939502,27;1903820,46
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);1250878,13;1360052,81;1322362,76;1436561,91;927493,85;956975,64;1398864,24;1413182,44
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);1250878,13;1360052,81;1322362,76;1436561,91;927493,85;956975,64;1398864,24;1413182,44
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);1250878,13;1360052,81;1322362,76;1436561,91;927493,85;956975,64;1398864,24;1413182,44
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;90686,69;62438,23;59944,09;60499,78;49075,81;50900,46;58056,62;58698,03
29 = Ergebnis  (= 26, 27, 28);1341564,82;1422491,04;1382306,85;1497061,69;976569,66;1007876,10;1456920,86;1471880,47
