;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-275,07 EUR";"-17,64 EUR";"";"-11,40 EUR";"-11,40 EUR";"-11,40 EUR";"-11,40 EUR";"-11,40 EUR"
"3 + Sonstige Transfererträge";"-950.668,36 EUR";"-2.314.357,32 EUR";"-1.285.000,00 EUR";"-1.430.000,00 EUR";"-1.430.000,00 EUR";"-1.430.000,00 EUR";"-1.430.000,00 EUR";"-1.430.000,00 EUR"
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-2.337.403,99 EUR";"-2.363.101,88 EUR";"-2.480.000,00 EUR";"-2.700.000,00 EUR";"-2.700.000,00 EUR";"-2.700.000,00 EUR";"-2.700.000,00 EUR";"-2.700.000,00 EUR"
"7 + Sonstige ordentliche Ertäge";"";"-162.667,91 EUR";"0,00 EUR";"-160.000,00 EUR";"-160.000,00 EUR";"-160.000,00 EUR";"-160.000,00 EUR";"-160.000,00 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-3.288.347,42 EUR";"-4.840.144,75 EUR";"-3.765.000,00 EUR";"-4.290.011,40 EUR";"-4.290.011,40 EUR";"-4.290.011,40 EUR";"-4.290.011,40 EUR";"-4.290.011,40 EUR"
"11 - Personalaufwendungen";"947.706,12 EUR";"926.155,47 EUR";"1.184.415,38 EUR";"1.241.842,44 EUR";"1.253.687,72 EUR";"1.263.212,47 EUR";"1.276.391,22 EUR";"1.292.560,86 EUR"
"12 - Versorgungsaufwendungen";"0,61 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"284.182,11 EUR";"356.314,25 EUR";"403.957,88 EUR";"404.004,80 EUR";"404.460,60 EUR";"404.930,12 EUR";"405.413,72 EUR";"405.911,96 EUR"
"14 - Bilanzielle Abschreibungen";"3.888,69 EUR";"3.689,67 EUR";"3.525,75 EUR";"3.373,80 EUR";"3.368,52 EUR";"3.368,52 EUR";"3.363,72 EUR";"3.311,04 EUR"
"15 - Transferaufwendungen";"4.746.704,03 EUR";"5.305.164,98 EUR";"5.300.000,00 EUR";"5.800.000,00 EUR";"5.800.000,00 EUR";"5.800.000,00 EUR";"5.800.000,00 EUR";"5.800.000,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"65.963,64 EUR";"1.621.442,52 EUR";"72.772,84 EUR";"71.885,32 EUR";"71.885,32 EUR";"71.885,32 EUR";"71.885,32 EUR";"71.885,32 EUR"
"17 = Ordentliche Aufwendungen";"6.048.445,20 EUR";"8.212.766,89 EUR";"6.964.671,85 EUR";"7.521.106,36 EUR";"7.533.402,16 EUR";"7.543.396,43 EUR";"7.557.053,98 EUR";"7.573.669,18 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"2.760.097,78 EUR";"3.372.622,14 EUR";"3.199.671,85 EUR";"3.231.094,96 EUR";"3.243.390,76 EUR";"3.253.385,03 EUR";"3.267.042,58 EUR";"3.283.657,78 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"2.760.097,78 EUR";"3.372.622,14 EUR";"3.199.671,85 EUR";"3.231.094,96 EUR";"3.243.390,76 EUR";"3.253.385,03 EUR";"3.267.042,58 EUR";"3.283.657,78 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"2.760.097,78 EUR";"3.372.622,14 EUR";"3.199.671,85 EUR";"3.231.094,96 EUR";"3.243.390,76 EUR";"3.253.385,03 EUR";"3.267.042,58 EUR";"3.283.657,78 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"169.940,54 EUR";"167.977,34 EUR";"198.938,22 EUR";"179.625,91 EUR";"177.642,84 EUR";"179.140,95 EUR";"179.633,00 EUR";"180.240,10 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"2.930.038,32 EUR";"3.540.599,48 EUR";"3.398.610,07 EUR";"3.410.720,87 EUR";"3.421.033,60 EUR";"3.432.525,98 EUR";"3.446.675,58 EUR";"3.463.897,88 EUR"
