"";"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-113.085,22 EUR";"-179.266,83 EUR";"-22.410,46 EUR";"-108.255,08 EUR";"-105.054,28 EUR";"-87.910,07 EUR";"-20.627,08 EUR";"-7.716,98 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-545.247,37 EUR";"-506.864,97 EUR";"-660.000,00 EUR";"-655.000,00 EUR";"-655.000,00 EUR";"-655.000,00 EUR";"-655.000,00 EUR";"-655.000,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"";"";"0,00 EUR";"0,00 EUR";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-466.464,90 EUR";"-419.920,68 EUR";"-465.000,00 EUR";"-470.000,00 EUR";"-470.000,00 EUR";"-470.000,00 EUR";"-470.000,00 EUR";"-470.000,00 EUR"
"7 + Sonstige ordentliche Ertäge";"-618,09 EUR";"";"-500,00 EUR";"-500,00 EUR";"-500,00 EUR";"-500,00 EUR";"-500,00 EUR";"-500,00 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-1.125.415,58 EUR";"-1.106.052,48 EUR";"-1.147.910,46 EUR";"-1.233.755,08 EUR";"-1.230.554,28 EUR";"-1.213.410,07 EUR";"-1.146.127,08 EUR";"-1.133.216,98 EUR"
"11 - Personalaufwendungen";"7.356.651,95 EUR";"7.505.123,79 EUR";"8.336.866,03 EUR";"6.579.120,20 EUR";"6.671.580,22 EUR";"6.760.530,58 EUR";"6.852.282,51 EUR";"6.940.760,66 EUR"
"12 - Versorgungsaufwendungen";"5,10 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"798.958,85 EUR";"946.138,74 EUR";"932.100,00 EUR";"907.208,00 EUR";"864.471,00 EUR";"886.862,00 EUR";"891.385,00 EUR";"896.044,00 EUR"
"14 - Bilanzielle Abschreibungen";"169.244,03 EUR";"208.199,50 EUR";"208.691,43 EUR";"161.830,18 EUR";"138.139,94 EUR";"109.918,70 EUR";"37.470,55 EUR";"20.807,75 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"371.198,13 EUR";"325.824,43 EUR";"386.076,35 EUR";"373.620,00 EUR";"368.620,00 EUR";"368.620,00 EUR";"368.620,00 EUR";"368.620,00 EUR"
"17 = Ordentliche Aufwendungen";"8.696.058,06 EUR";"8.985.286,46 EUR";"9.863.733,81 EUR";"8.021.778,38 EUR";"8.042.811,16 EUR";"8.125.931,28 EUR";"8.149.758,06 EUR";"8.226.232,41 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"7.570.642,48 EUR";"7.879.233,98 EUR";"8.715.823,35 EUR";"6.788.023,30 EUR";"6.812.256,88 EUR";"6.912.521,21 EUR";"7.003.630,98 EUR";"7.093.015,43 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"7.570.642,48 EUR";"7.879.233,98 EUR";"8.715.823,35 EUR";"6.788.023,30 EUR";"6.812.256,88 EUR";"6.912.521,21 EUR";"7.003.630,98 EUR";"7.093.015,43 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"7.570.642,48 EUR";"7.879.233,98 EUR";"8.715.823,35 EUR";"6.788.023,30 EUR";"6.812.256,88 EUR";"6.912.521,21 EUR";"7.003.630,98 EUR";"7.093.015,43 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-2.155.399,95 EUR";"-2.323.380,89 EUR";"-2.258.271,00 EUR";"-2.322.864,00 EUR";"-2.322.864,00 EUR";"-2.322.864,00 EUR";"-2.322.864,00 EUR";"-2.322.864,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"1.513.540,46 EUR";"1.139.791,82 EUR";"1.251.072,97 EUR";"965.914,53 EUR";"959.887,22 EUR";"970.005,20 EUR";"973.945,69 EUR";"977.560,80 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"6.928.782,99 EUR";"6.695.644,91 EUR";"7.708.625,32 EUR";"5.431.073,83 EUR";"5.449.280,10 EUR";"5.559.662,41 EUR";"5.654.712,67 EUR";"5.747.712,23 EUR"
