;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-65,09 EUR";"";"-100,00 EUR";"-10.000,00 EUR";"-10.000,00 EUR";"-10.000,00 EUR";"-10.000,00 EUR";"-10.000,00 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-51.581,09 EUR";"-61.427,75 EUR";"-30.700,00 EUR";"-30.700,00 EUR";"-30.700,00 EUR";"-30.700,00 EUR";"-30.700,00 EUR";"-30.700,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"-975,47 EUR";"-16.365,02 EUR";"-6.150,00 EUR";"-6.150,00 EUR";"-6.150,00 EUR";"-6.150,00 EUR";"-6.150,00 EUR";"-6.150,00 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-52.621,65 EUR";"-77.792,77 EUR";"-36.950,00 EUR";"-46.850,00 EUR";"-46.850,00 EUR";"-46.850,00 EUR";"-46.850,00 EUR";"-46.850,00 EUR"
"11 - Personalaufwendungen";"476.292,89 EUR";"501.706,64 EUR";"529.287,40 EUR";"465.021,90 EUR";"471.373,12 EUR";"477.378,42 EUR";"483.373,85 EUR";"489.125,46 EUR"
"12 - Versorgungsaufwendungen";"0,30 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"14.385,73 EUR";"20.480,84 EUR";"23.967,68 EUR";"18.918,44 EUR";"19.345,28 EUR";"19.734,84 EUR";"20.237,76 EUR";"20.704,28 EUR"
"14 - Bilanzielle Abschreibungen";"981,12 EUR";"861,71 EUR";"852,36 EUR";"825,36 EUR";"47,88 EUR";"44,40 EUR";"44,40 EUR";"44,40 EUR"
"15 - Transferaufwendungen";"40.275,00 EUR";"";"8.900,00 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"55.151,77 EUR";"56.864,61 EUR";"47.770,12 EUR";"46.069,80 EUR";"46.069,80 EUR";"46.069,80 EUR";"46.069,80 EUR";"46.069,80 EUR"
"17 = Ordentliche Aufwendungen";"587.086,81 EUR";"579.913,80 EUR";"610.777,56 EUR";"550.835,50 EUR";"556.836,08 EUR";"563.227,46 EUR";"569.725,81 EUR";"575.943,94 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"534.465,16 EUR";"502.121,03 EUR";"573.827,56 EUR";"503.985,50 EUR";"509.986,08 EUR";"516.377,46 EUR";"522.875,81 EUR";"529.093,94 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"534.465,16 EUR";"502.121,03 EUR";"573.827,56 EUR";"503.985,50 EUR";"509.986,08 EUR";"516.377,46 EUR";"522.875,81 EUR";"529.093,94 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"534.465,16 EUR";"502.121,03 EUR";"573.827,56 EUR";"503.985,50 EUR";"509.986,08 EUR";"516.377,46 EUR";"522.875,81 EUR";"529.093,94 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"126.720,03 EUR";"94.871,56 EUR";"110.295,72 EUR";"94.427,68 EUR";"94.001,67 EUR";"94.617,63 EUR";"94.885,94 EUR";"95.128,85 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"661.185,19 EUR";"596.992,59 EUR";"684.123,28 EUR";"598.413,18 EUR";"603.987,75 EUR";"610.995,09 EUR";"617.761,75 EUR";"624.222,79 EUR"
