;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-133.488,00 EUR";"-123.294,77 EUR";"-190.000,00 EUR";"-189.400,00 EUR";"-189.400,00 EUR";"-189.400,00 EUR";"-189.400,00 EUR";"-189.400,00 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-28.801,73 EUR";"-7.305,63 EUR";"-50.000,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"";""
"7 + Sonstige ordentliche Ertäge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-162.289,73 EUR";"-130.600,40 EUR";"-240.000,00 EUR";"-189.400,00 EUR";"-189.400,00 EUR";"-189.400,00 EUR";"-189.400,00 EUR";"-189.400,00 EUR"
"11 - Personalaufwendungen";"102.527,32 EUR";"13.380,48 EUR";"93.931,49 EUR";"15.561,60 EUR";"15.625,32 EUR";"15.631,56 EUR";"15.710,40 EUR";"15.872,28 EUR"
"12 - Versorgungsaufwendungen";"0,05 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"3.943,34 EUR";"4.632,04 EUR";"8.460,32 EUR";"6.478,28 EUR";"6.663,32 EUR";"6.853,72 EUR";"7.050,60 EUR";"7.252,84 EUR"
"14 - Bilanzielle Abschreibungen";"122,50 EUR";"114,35 EUR";"113,80 EUR";"94,67 EUR";"1,68 EUR";"1,68 EUR";"1,68 EUR";"1,68 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"115.095,24 EUR";"118.777,46 EUR";"144.847,65 EUR";"145.499,70 EUR";"145.499,70 EUR";"145.499,70 EUR";"145.499,70 EUR";"145.499,70 EUR"
"17 = Ordentliche Aufwendungen";"221.688,45 EUR";"136.904,33 EUR";"247.353,26 EUR";"167.634,25 EUR";"167.790,02 EUR";"167.986,66 EUR";"168.262,38 EUR";"168.626,50 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"59.398,72 EUR";"6.303,93 EUR";"7.353,26 EUR";"-21.765,75 EUR";"-21.609,98 EUR";"-21.413,34 EUR";"-21.137,62 EUR";"-20.773,50 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"59.398,72 EUR";"6.303,93 EUR";"7.353,26 EUR";"-21.765,75 EUR";"-21.609,98 EUR";"-21.413,34 EUR";"-21.137,62 EUR";"-20.773,50 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"59.398,72 EUR";"6.303,93 EUR";"7.353,26 EUR";"-21.765,75 EUR";"-21.609,98 EUR";"-21.413,34 EUR";"-21.137,62 EUR";"-20.773,50 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"33.353,07 EUR";"25.699,64 EUR";"30.336,35 EUR";"22.928,54 EUR";"22.906,24 EUR";"22.929,40 EUR";"22.940,76 EUR";"22.956,01 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"92.751,79 EUR";"32.003,57 EUR";"37.689,61 EUR";"1.162,79 EUR";"1.296,26 EUR";"1.516,06 EUR";"1.803,14 EUR";"2.182,51 EUR"
