;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-42,20 EUR";"-0,95 EUR";"-0,84 EUR";"-0,60 EUR";"-0,60 EUR";"-0,60 EUR";"-0,60 EUR";"-0,60 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Ertäge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-42,20 EUR";"-0,95 EUR";"-0,84 EUR";"-0,60 EUR";"-0,60 EUR";"-0,60 EUR";"-0,60 EUR";"-0,60 EUR"
"11 - Personalaufwendungen";"115.375,29 EUR";"114.291,85 EUR";"92.765,12 EUR";"47.882,76 EUR";"48.803,35 EUR";"49.797,39 EUR";"50.828,51 EUR";"51.742,56 EUR"
"12 - Versorgungsaufwendungen";"0,06 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"54.629,98 EUR";"45.580,45 EUR";"45.657,60 EUR";"45.205,20 EUR";"70.228,12 EUR";"70.251,76 EUR";"70.276,12 EUR";"70.301,20 EUR"
"14 - Bilanzielle Abschreibungen";"781,65 EUR";"585,35 EUR";"426,12 EUR";"273,12 EUR";"203,64 EUR";"203,64 EUR";"203,64 EUR";"202,68 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"4.495,13 EUR";"4.693,23 EUR";"4.973,48 EUR";"1.773,60 EUR";"1.773,60 EUR";"1.773,60 EUR";"1.773,60 EUR";"1.773,60 EUR"
"17 = Ordentliche Aufwendungen";"175.282,11 EUR";"165.150,88 EUR";"143.822,32 EUR";"95.134,68 EUR";"121.008,71 EUR";"122.026,39 EUR";"123.081,87 EUR";"124.020,04 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"175.239,91 EUR";"165.149,93 EUR";"143.821,48 EUR";"95.134,08 EUR";"121.008,11 EUR";"122.025,79 EUR";"123.081,27 EUR";"124.019,44 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"175.239,91 EUR";"165.149,93 EUR";"143.821,48 EUR";"95.134,08 EUR";"121.008,11 EUR";"122.025,79 EUR";"123.081,27 EUR";"124.019,44 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"175.239,91 EUR";"165.149,93 EUR";"143.821,48 EUR";"95.134,08 EUR";"121.008,11 EUR";"122.025,79 EUR";"123.081,27 EUR";"124.019,44 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"29.978,81 EUR";"19.637,16 EUR";"21.570,85 EUR";"21.152,21 EUR";"22.292,89 EUR";"22.415,13 EUR";"22.454,14 EUR";"22.484,75 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"205.218,72 EUR";"184.787,09 EUR";"165.392,33 EUR";"116.286,29 EUR";"143.301,00 EUR";"144.440,92 EUR";"145.535,41 EUR";"146.504,19 EUR"
