;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-38,16 EUR";"-38,16 EUR";"-38,16 EUR";"-38,16 EUR";"-38,16 EUR";"-38,16 EUR";"-38,16 EUR";"-38,16 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR";"-250,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"-6.397,69 EUR";"";"-6.374,58 EUR";"-6.126,41 EUR";"-6.209,36 EUR";"-6.206,70 EUR";"-6.212,80 EUR";"-6.211,70 EUR"
"7 + Sonstige ordentliche Ertäge";"";"";"-25,00 EUR";"-25,00 EUR";"-25,00 EUR";"-25,00 EUR";"-25,00 EUR";"-25,00 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-6.435,85 EUR";"-288,16 EUR";"-6.687,74 EUR";"-6.439,57 EUR";"-6.522,52 EUR";"-6.519,86 EUR";"-6.525,96 EUR";"-6.524,86 EUR"
"11 - Personalaufwendungen";"447.495,76 EUR";"474.285,22 EUR";"474.697,37 EUR";"258.320,68 EUR";"261.498,45 EUR";"264.374,25 EUR";"267.226,93 EUR";"270.051,77 EUR"
"12 - Versorgungsaufwendungen";"0,23 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"9.589,49 EUR";"12.657,05 EUR";"15.950,00 EUR";"19.347,00 EUR";"19.689,00 EUR";"20.041,00 EUR";"20.404,00 EUR";"20.778,00 EUR"
"14 - Bilanzielle Abschreibungen";"191,07 EUR";"98,38 EUR";"58,23 EUR";"75,28 EUR";"75,28 EUR";"75,28 EUR";"75,28 EUR";"75,28 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"38.017,40 EUR";"37.963,40 EUR";"56.975,00 EUR";"56.375,00 EUR";"56.375,00 EUR";"56.375,00 EUR";"56.375,00 EUR";"56.375,00 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"495.293,95 EUR";"525.004,05 EUR";"547.680,60 EUR";"334.117,96 EUR";"337.637,73 EUR";"340.865,53 EUR";"344.081,21 EUR";"347.280,05 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"488.858,10 EUR";"524.715,89 EUR";"540.992,86 EUR";"327.678,39 EUR";"331.115,21 EUR";"334.345,67 EUR";"337.555,25 EUR";"340.755,19 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"488.858,10 EUR";"524.715,89 EUR";"540.992,86 EUR";"327.678,39 EUR";"331.115,21 EUR";"334.345,67 EUR";"337.555,25 EUR";"340.755,19 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"488.858,10 EUR";"524.715,89 EUR";"540.992,86 EUR";"327.678,39 EUR";"331.115,21 EUR";"334.345,67 EUR";"337.555,25 EUR";"340.755,19 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-509.094,73 EUR";"-542.979,98 EUR";"-557.696,81 EUR";"-362.551,34 EUR";"-365.463,76 EUR";"-368.472,90 EUR";"-371.450,28 EUR";"-374.418,38 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"61.514,20 EUR";"62.289,37 EUR";"61.922,71 EUR";"64.268,31 EUR";"63.980,29 EUR";"64.002,74 EUR";"64.011,86 EUR";"64.020,61 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"41.277,57 EUR";"44.025,28 EUR";"45.218,76 EUR";"29.395,36 EUR";"29.631,74 EUR";"29.875,51 EUR";"30.116,83 EUR";"30.357,42 EUR"
