;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-1.943,38 EUR";"-3.575,75 EUR";"-1.823,74 EUR";"-3.826,99 EUR";"-3.635,11 EUR";"-3.379,10 EUR";"-3.186,05 EUR";"-3.052,89 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-30.483,10 EUR";"-29.455,13 EUR";"-29.260,80 EUR";"-26.995,96 EUR";"-26.995,95 EUR";"-26.995,95 EUR";"-23.140,15 EUR";"-13.965,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"";"";"-500,00 EUR";"-500,00 EUR";"-500,00 EUR";"-500,00 EUR";"-500,00 EUR";"-500,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"-2.542,52 EUR";"-3.294,64 EUR";"-2.900,00 EUR";"-3.300,00 EUR";"-3.300,00 EUR";"-3.300,00 EUR";"-3.300,00 EUR";"-3.300,00 EUR"
"7 + Sonstige ordentliche Ertäge";"-615.175,59 EUR";"";"-50,00 EUR";"-50,00 EUR";"-50,00 EUR";"-50,00 EUR";"-50,00 EUR";"-50,00 EUR"
"8 + Aktivierte Eigenleistungen";"-43,67 EUR";"-231,20 EUR";"-16,92 EUR";"-234,12 EUR";"-253,80 EUR";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-650.188,26 EUR";"-36.556,72 EUR";"-34.551,46 EUR";"-34.907,07 EUR";"-34.734,86 EUR";"-34.225,05 EUR";"-30.176,20 EUR";"-20.867,89 EUR"
"11 - Personalaufwendungen";"205.421,42 EUR";"197.298,54 EUR";"213.013,45 EUR";"185.834,72 EUR";"189.043,25 EUR";"192.387,62 EUR";"195.813,77 EUR";"198.912,40 EUR"
"12 - Versorgungsaufwendungen";"0,15 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"3.675.765,67 EUR";"3.801.886,32 EUR";"3.808.694,16 EUR";"4.189.308,72 EUR";"4.326.492,72 EUR";"4.418.881,72 EUR";"4.419.076,72 EUR";"4.419.277,72 EUR"
"14 - Bilanzielle Abschreibungen";"1.334.016,88 EUR";"1.328.788,31 EUR";"1.314.179,18 EUR";"1.319.509,78 EUR";"1.236.461,38 EUR";"1.236.130,68 EUR";"1.235.807,25 EUR";"1.066.520,14 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"67.357,09 EUR";"20.701,21 EUR";"9.399,44 EUR";"14.504,40 EUR";"14.554,40 EUR";"14.754,40 EUR";"14.754,40 EUR";"14.754,40 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"5.282.561,21 EUR";"5.348.674,38 EUR";"5.345.286,23 EUR";"5.709.157,62 EUR";"5.766.551,75 EUR";"5.862.154,42 EUR";"5.865.452,14 EUR";"5.699.464,66 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"4.632.372,95 EUR";"5.312.117,66 EUR";"5.310.734,77 EUR";"5.674.250,55 EUR";"5.731.816,89 EUR";"5.827.929,37 EUR";"5.835.275,94 EUR";"5.678.596,77 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"4.632.372,95 EUR";"5.312.117,66 EUR";"5.310.734,77 EUR";"5.674.250,55 EUR";"5.731.816,89 EUR";"5.827.929,37 EUR";"5.835.275,94 EUR";"5.678.596,77 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"4.632.372,95 EUR";"5.312.117,66 EUR";"5.310.734,77 EUR";"5.674.250,55 EUR";"5.731.816,89 EUR";"5.827.929,37 EUR";"5.835.275,94 EUR";"5.678.596,77 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"458.400,65 EUR";"267.047,86 EUR";"307.724,79 EUR";"259.449,51 EUR";"259.522,38 EUR";"267.042,24 EUR";"266.691,59 EUR";"266.237,21 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"5.090.773,60 EUR";"5.579.165,52 EUR";"5.618.459,56 EUR";"5.933.700,06 EUR";"5.991.339,27 EUR";"6.094.971,61 EUR";"6.101.967,53 EUR";"5.944.833,98 EUR"
