;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-124,43 EUR";"-642,33 EUR";"";"-247,54 EUR";"";"";"";""
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-9.673,74 EUR";"-6.736,87 EUR";"-18.437,29 EUR";"-19.432,78 EUR";"-16.993,61 EUR";"-16.914,40 EUR";"-16.888,26 EUR";"-16.887,05 EUR"
"7 + Sonstige ordentliche Ertäge";"-64,17 EUR";"-15.095,21 EUR";"-150,00 EUR";"-100,00 EUR";"-100,00 EUR";"-100,00 EUR";"-100,00 EUR";"-100,00 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-9.862,34 EUR";"-22.474,41 EUR";"-18.587,29 EUR";"-19.780,32 EUR";"-17.093,61 EUR";"-17.014,40 EUR";"-16.988,26 EUR";"-16.987,05 EUR"
"11 - Personalaufwendungen";"709.414,39 EUR";"688.576,28 EUR";"777.312,00 EUR";"931.947,50 EUR";"938.430,30 EUR";"942.031,80 EUR";"947.402,26 EUR";"955.616,49 EUR"
"12 - Versorgungsaufwendungen";"0,53 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"18.548,56 EUR";"23.411,40 EUR";"25.588,78 EUR";"24.551,26 EUR";"25.103,50 EUR";"25.672,30 EUR";"26.258,14 EUR";"26.861,62 EUR"
"14 - Bilanzielle Abschreibungen";"1.165,04 EUR";"3.346,47 EUR";"49,65 EUR";"247,54 EUR";"";"";"";""
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"1.854.137,32 EUR";"67.991,86 EUR";"21.084,84 EUR";"205.251,52 EUR";"35.251,52 EUR";"35.251,52 EUR";"35.251,52 EUR";"35.251,52 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"2.583.265,84 EUR";"783.326,01 EUR";"824.035,27 EUR";"1.161.997,82 EUR";"998.785,32 EUR";"1.002.955,62 EUR";"1.008.911,92 EUR";"1.017.729,63 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"2.573.403,50 EUR";"760.851,60 EUR";"805.447,98 EUR";"1.142.217,50 EUR";"981.691,71 EUR";"985.941,22 EUR";"991.923,66 EUR";"1.000.742,58 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"2.573.403,50 EUR";"760.851,60 EUR";"805.447,98 EUR";"1.142.217,50 EUR";"981.691,71 EUR";"985.941,22 EUR";"991.923,66 EUR";"1.000.742,58 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"2.573.403,50 EUR";"760.851,60 EUR";"805.447,98 EUR";"1.142.217,50 EUR";"981.691,71 EUR";"985.941,22 EUR";"991.923,66 EUR";"1.000.742,58 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-2.464.572,33 EUR";"-782.837,11 EUR";"-849.982,54 EUR";"-1.150.362,18 EUR";"-1.000.938,23 EUR";"-1.004.913,07 EUR";"-1.010.455,60 EUR";"-1.018.632,74 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"90.998,94 EUR";"85.458,65 EUR";"113.452,15 EUR";"101.417,13 EUR";"100.403,53 EUR";"100.451,18 EUR";"100.460,90 EUR";"100.481,78 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"199.830,11 EUR";"63.473,14 EUR";"68.917,59 EUR";"93.272,45 EUR";"81.157,01 EUR";"81.479,33 EUR";"81.928,96 EUR";"82.591,62 EUR"
