;"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-7.587,38 EUR";"-7.423,48 EUR";"-367,74 EUR";"-7.236,78 EUR";"-7.233,47 EUR";"-7.066,01 EUR";"-6.523,25 EUR";"-6.252,97 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-66.122,69 EUR";"-146.002,55 EUR";"-85.000,00 EUR";"-185.000,00 EUR";"-185.000,00 EUR";"-185.000,00 EUR";"-185.000,00 EUR";"-185.000,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-243.878,57 EUR";"-235.104,19 EUR";"-255.000,00 EUR";"-260.000,00 EUR";"-260.000,00 EUR";"-260.000,00 EUR";"-260.000,00 EUR";"-260.000,00 EUR"
"7 + Sonstige ordentliche Ertäge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-317.588,64 EUR";"-388.530,22 EUR";"-340.367,74 EUR";"-452.236,78 EUR";"-452.233,47 EUR";"-452.066,01 EUR";"-451.523,25 EUR";"-451.252,97 EUR"
"11 - Personalaufwendungen";"2.236.764,48 EUR";"2.299.702,79 EUR";"2.455.343,98 EUR";"1.934.636,00 EUR";"1.961.476,67 EUR";"1.987.455,00 EUR";"2.015.971,63 EUR";"2.044.446,70 EUR"
"12 - Versorgungsaufwendungen";"1,55 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"90.533,20 EUR";"111.921,15 EUR";"160.023,88 EUR";"142.090,32 EUR";"143.074,56 EUR";"144.088,28 EUR";"145.132,48 EUR";"146.208,08 EUR"
"14 - Bilanzielle Abschreibungen";"64.711,60 EUR";"54.616,71 EUR";"99.362,41 EUR";"31.905,03 EUR";"22.650,21 EUR";"16.674,98 EUR";"11.611,82 EUR";"10.692,72 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"60.475,84 EUR";"63.040,27 EUR";"83.124,59 EUR";"70.238,87 EUR";"70.238,87 EUR";"70.238,87 EUR";"70.238,87 EUR";"70.238,87 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"2.452.486,67 EUR";"2.529.280,92 EUR";"2.797.854,86 EUR";"2.178.870,22 EUR";"2.197.440,31 EUR";"2.218.457,13 EUR";"2.242.954,80 EUR";"2.271.586,37 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"2.134.898,03 EUR";"2.140.750,70 EUR";"2.457.487,12 EUR";"1.726.633,44 EUR";"1.745.206,84 EUR";"1.766.391,12 EUR";"1.791.431,55 EUR";"1.820.333,40 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"2.134.898,03 EUR";"2.140.750,70 EUR";"2.457.487,12 EUR";"1.726.633,44 EUR";"1.745.206,84 EUR";"1.766.391,12 EUR";"1.791.431,55 EUR";"1.820.333,40 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"2.134.898,03 EUR";"2.140.750,70 EUR";"2.457.487,12 EUR";"1.726.633,44 EUR";"1.745.206,84 EUR";"1.766.391,12 EUR";"1.791.431,55 EUR";"1.820.333,40 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-624.812,71 EUR";"-715.693,06 EUR";"-742.230,00 EUR";"-715.704,00 EUR";"-715.704,00 EUR";"-715.704,00 EUR";"-715.704,00 EUR";"-715.704,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"442.956,96 EUR";"336.490,99 EUR";"365.990,62 EUR";"273.202,13 EUR";"272.255,96 EUR";"274.875,24 EUR";"276.110,43 EUR";"277.297,03 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"1.953.042,28 EUR";"1.761.548,63 EUR";"2.081.247,74 EUR";"1.284.131,57 EUR";"1.301.758,80 EUR";"1.325.562,36 EUR";"1.351.837,98 EUR";"1.381.926,43 EUR"
