;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Ertäge;-39536,47;-70598,72;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge (Summe 1-9);-39536,47;-70598,72;;;;;;
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;;;;;
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;1585148,05;1780422,05;2180000,00;2180000,00;2180000,00;2180000,00;2180000,00;2180000,00
16 - Sonstige ordentliche Aufwendungen;58000,00;;;;;;;
17 = Ordentliche Aufwendungen (Summe 11-16);1643148,05;1780422,05;2180000,00;2180000,00;2180000,00;2180000,00;2180000,00;2180000,00
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);1603611,58;1709823,33;2180000,00;2180000,00;2180000,00;2180000,00;2180000,00;2180000,00
19 + Finanzerträge;-211670,36;-299353,69;;-150000,00;-150000,00;-150000,00;-150000,00;-150000,00
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);-211670,36;-299353,69;;-150000,00;-150000,00;-150000,00;-150000,00;-150000,00
22 = Ordentliches Ergebnis (=18 + 21);1391941,22;1410469,64;2180000,00;2030000,00;2030000,00;2030000,00;2030000,00;2030000,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);1391941,22;1410469,64;2180000,00;2030000,00;2030000,00;2030000,00;2030000,00;2030000,00
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;7938,55;;;;;;;
29 = Ergebnis  (= 26, 27, 28);1399879,77;1410469,64;2180000,00;2030000,00;2030000,00;2030000,00;2030000,00;2030000,00
