;Ergebnis des Vorvor- vorjahres K4/2009;Ergebnis des Vor- vorjahres K4/2010;Ansatz des Vor- jahres K4/2011;Ansatz des Haushalt- jahres K4/2012;Ansatz des Haushalt- jahres K4/2013;Planung des Haushalt- jahres K4/2014;Planung des Haushalt- jahres K4/2015;Planung des Haushalt- jahres K4/2016
1 Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1924,68;-2006,73;-49,50;-54,08;-54,06;-54,08;-54,06;-54,08
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-7239,26;;-7569,95;-881,74;-893,84;-894,56;-896,72;-898,15
7 + Sonstige ordentliche Ertäge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge (Summe 1-9);-9163,94;-2006,73;-7619,45;-935,82;-947,90;-948,64;-950,78;-952,23
11 - Personalaufwendungen;493943,57;530151,23;570229,02;;;;;
12 - Versorgungsaufwendungen;0,31;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;20392,76;30504,64;24500,00;28508,00;29026,00;29560,00;30110,00;30676,00
14 - Bilanzielle Abschreibungen;2190,28;155,91;249,03;96,99;96,99;96,99;96,99;96,99
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;33721,64;31032,11;30970,12;28424,00;28424,00;28424,00;28424,00;28424,00
17 = Ordentliche Aufwendungen (Summe 11-16);550248,56;591843,89;625948,17;57028,99;57546,99;58080,99;58630,99;59196,99
18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17);541084,62;589837,16;618328,72;56093,17;56599,09;57132,35;57680,21;58244,76
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (=19 +20);;;;;;;;
22 = Ordentliches Ergebnis (=18 + 21);541084,62;589837,16;618328,72;56093,17;56599,09;57132,35;57680,21;58244,76
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (=23 + 24);;;;;;;;
26 = Ergebnis - vBerücksicht intern Leistbez (= 22+25);541084,62;589837,16;618328,72;56093,17;56599,09;57132,35;57680,21;58244,76
27 + Erträge aus internen Leistungsbeziehungen;-569172,19;-646638,25;-662896,42;-52123,53;-52564,90;-53061,09;-53569,47;-54093,46
28 - Aufwendungen aus internen Leistungsbeziehungen;74236,56;109231,15;98315,93;256,72;227,80;231,04;232,84;234,76
29 = Ergebnis  (= 26, 27, 28);46148,99;52430,06;53748,23;4226,36;4261,99;4302,30;4343,58;4386,06
