"";"Ergebnis des Vorvor- vorjahres K4/2009";"Ergebnis des Vor- vorjahres K4/2010";"Ansatz des Vor- jahres K4/2011";"Ansatz des Haushalt- jahres K4/2012";"Ansatz des Haushalt- jahres K4/2013";"Planung des Haushalt- jahres K4/2014";"Planung des Haushalt- jahres K4/2015";"Planung des Haushalt- jahres K4/2016"
"1 Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-16.400,00 EUR";"-63.000,00 EUR";"";"";"";"";"";""
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"-51.100,57 EUR";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-11.615,64 EUR";"-7.614,21 EUR";"-3.696,52 EUR";"-4.402,14 EUR";"-4.460,94 EUR";"-4.468,42 EUR";"-4.506,92 EUR";"-4.537,41 EUR"
"7 + Sonstige ordentliche Ertäge";"";"0,00 EUR";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge (Summe 1-9)";"-28.015,64 EUR";"-121.714,78 EUR";"-3.696,52 EUR";"-4.402,14 EUR";"-4.460,94 EUR";"-4.468,42 EUR";"-4.506,92 EUR";"-4.537,41 EUR"
"11 - Personalaufwendungen";"266.776,62 EUR";"236.291,01 EUR";"197.983,31 EUR";"166.184,40 EUR";"168.709,76 EUR";"171.210,92 EUR";"173.741,56 EUR";"176.070,80 EUR"
"12 - Versorgungsaufwendungen";"0,15 EUR";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"5.802,89 EUR";"125.873,31 EUR";"8.100,00 EUR";"5.213,00 EUR";"5.366,00 EUR";"5.524,00 EUR";"5.687,00 EUR";"5.855,00 EUR"
"14 - Bilanzielle Abschreibungen";"72,88 EUR";"72,87 EUR";"63,50 EUR";"56,00 EUR";"";"";"";""
"15 - Transferaufwendungen";"";"6.496,69 EUR";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"49.400,42 EUR";"39.416,07 EUR";"38.900,00 EUR";"32.650,00 EUR";"32.650,00 EUR";"32.650,00 EUR";"34.275,00 EUR";"35.900,00 EUR"
"17 = Ordentliche Aufwendungen (Summe 11-16)";"322.052,96 EUR";"408.149,95 EUR";"245.046,81 EUR";"204.103,40 EUR";"206.725,76 EUR";"209.384,92 EUR";"213.703,56 EUR";"217.825,80 EUR"
"18 = Ergebnis der laufenden Verwaltungstätigkeit (=10 +17)";"294.037,32 EUR";"286.435,17 EUR";"241.350,29 EUR";"199.701,26 EUR";"202.264,82 EUR";"204.916,50 EUR";"209.196,64 EUR";"213.288,39 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (=19 +20)";"";"";"";"";"";"";"";""
"22 = Ordentliches Ergebnis (=18 + 21)";"294.037,32 EUR";"286.435,17 EUR";"241.350,29 EUR";"199.701,26 EUR";"202.264,82 EUR";"204.916,50 EUR";"209.196,64 EUR";"213.288,39 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (=23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis - v.Berücksicht. intern. Leist.bez. (= 22+25)";"294.037,32 EUR";"286.435,17 EUR";"241.350,29 EUR";"199.701,26 EUR";"202.264,82 EUR";"204.916,50 EUR";"209.196,64 EUR";"213.288,39 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-331.371,24 EUR";"-342.309,22 EUR";"-279.714,36 EUR";"-230.885,79 EUR";"-233.094,74 EUR";"-235.562,95 EUR";"-239.529,93 EUR";"-243.321,93 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"63.157,83 EUR";"83.628,82 EUR";"61.043,39 EUR";"49.904,67 EUR";"49.729,00 EUR";"49.745,80 EUR";"49.754,33 EUR";"49.761,89 EUR"
"29 = Ergebnis  (= 26, 27, 28)";"25.823,91 EUR";"27.754,77 EUR";"22.679,32 EUR";"18.720,14 EUR";"18.899,08 EUR";"19.099,35 EUR";"19.421,04 EUR";"19.728,35 EUR"
